object_id,dust_index_q16,dust_index_q50,dust_index_q84
227630,-0.9907693905455952,-0.962756884635634,-0.9075300279449183
163989,-0.9733628719164892,-0.8780712655988259,-0.48672246375896816
214899,-0.7597348124839465,-0.41495665076334076,-0.08476931444729649
129596,-0.9928009558524293,-0.9723550552665849,-0.9320984450055604
117010,-0.7834765481062721,-0.5895150419591532,-0.36996026031830026
130005,-0.7728340662563302,-0.4497409254492708,-0.15361158384597137
208622,-0.993187001938947,-0.9721360921603812,-0.9251139271513388
107370,-0.9926291837379039,-0.9724425325574849,-0.9291108489394343
215519,-0.9742406004808921,-0.8865025974750667,-0.6999817679807236
139662,0.3346864105398136,0.3752295056765225,0.39379971267467023
145276,-0.9698851765701078,-0.8827568736620317,-0.6893648809013578
245621,0.04266002543035975,0.2083664623317985,0.32932654160815017
182890,0.014551957191093475,0.14162264174607547,0.25361576219754695
92132,0.026692792254805055,0.21346925975535233,0.3356743637880841
152125,0.1349203303511228,0.23184077099785988,0.3143418498569189
240899,-0.9494973703058205,-0.8627081053309587,-0.7560845767048359
214430,-0.9563985767889267,0.08918620958532794,0.26934309514244587
126578,-0.8304677731408903,-0.6264856878478882,-0.3765717356750101
120540,-0.9984377924052843,-0.9941288841195914,-0.9848075336097655
37219,-0.9913532272353928,-0.9656860622368554,-0.9053649944149553
84337,-0.962054833553035,-0.720741298633046,0.09793505875937883
259737,-0.988757200824758,-0.9584761721793017,-0.9025589601873969
228717,-0.9984658743629429,-0.9939781061390692,-0.9850013990138928
103366,-0.9686972264233668,-0.8994888349737518,-0.8020243425313985
205765,-0.9936499055247748,-0.975796033922315,-0.9353837435520264
122025,-0.056204711404647875,0.10829012316593586,0.24505050309801787
210940,-0.14706381763548926,-0.024121729724473098,0.0890110593923001
120488,-0.9980017960627632,-0.9914723615705856,-0.9803428577350088
254350,0.0534174716165356,0.19991919426643368,0.3110260962404958
245864,-0.679226928042018,-0.36330075223385916,0.04820676893202488
173928,-0.9947596976286351,-0.9788297456150302,-0.9401244098267253
93943,-0.1623530678714096,-0.02318185808019056,0.09941811534152707
109843,-0.9855529306213804,-0.9497649750395897,-0.8875216373236752
217020,-0.9879160341619216,-0.9533918640776909,-0.8787551562274477
162587,-0.9911559362701875,-0.9679874052159122,-0.9206295597536138
161113,-0.9752180153539077,-0.9027584012498872,-0.7712307102898887
232890,-0.20833323983878183,0.10784146708917666,0.2935699537462842
38771,-0.8388088997497387,-0.6562911950841898,-0.4246806599484443
206771,-0.005526625484635075,0.16313361721106737,0.29824104717898287
225678,-0.54776645185164,-0.42379264298276353,-0.3031611015163594
143127,-0.9747210982981966,-0.8550210100086881,-0.31567611757601727
212718,-0.9717658977840423,-0.8906074900451607,-0.7166785566252951
133240,-0.9919273485474414,-0.9700741104717548,-0.9253392243727699
101830,0.22481268321359857,0.3166926356560606,0.376289008106735
181421,0.32395400604066715,0.37128360910818264,0.3925391988670745
156118,-0.17230271845834688,0.02521154327245236,0.1937129021331099
231554,-0.07943805461003457,0.15724676888244632,0.3224818450983003
126153,-0.8367285541339494,-0.7152214565451037,-0.5954865056516718
89153,-0.6002073299447838,-0.4855771681692152,-0.39269306281547345
120758,-0.9941064695882432,-0.977681710579415,-0.9391433795982777
38646,-0.9974759643103375,-0.9899473851229625,-0.9729504626165519
102968,-0.9982512636194008,-0.9935779710681127,-0.9837046747543671
245763,0.1694694535831809,0.28206543307727755,0.357148041527347
255047,0.0749502783610552,0.27466882566340706,0.3653346889868897
201233,-0.9523666298182778,-0.8309155269636699,-0.6088373294735552
101089,-0.844525583310665,-0.4096308720794183,0.047857994758795964
258753,0.1732263117726354,0.3066488677229685,0.37409195437649434
167056,-0.9854467796611174,-0.9417973210192352,-0.852090761636332
36550,-0.2760648883143101,-0.0643542996055654,0.09246570906981462
87207,-0.9606236803606496,-0.7812752430800067,0.03852222911238261
166634,-0.9924460989530809,-0.9710118281877483,-0.9338493826341343
121482,-0.013742729124569432,0.20741767302859065,0.341149944440113
189698,-0.1249393306158853,0.10028450885509117,0.2764006738491343
89072,-0.06121655464810318,0.10683469778526833,0.2531642980374497
97310,-0.9115374252670034,-0.8085325386489985,-0.7062388322946935
191718,-0.00041188392344343764,0.166050259300697,0.29927814389728713
39865,-0.26935027918223997,0.018409904159147873,0.2245827975331865
98104,-0.29635853249725985,-0.09187074820050191,0.07281500502243402
37843,-0.04359236267208959,0.14765649045123636,0.28166308491511777
112534,0.12540664993786574,0.2806271329428696,0.3665749515848905
127946,-0.778520957840162,-0.6199264604944164,-0.4414627164162541
119809,0.18629367258902266,0.36036195509543967,0.39060579758947933
185631,-0.7924574241574118,-0.4033307203280042,0.024270485908455673
253688,-0.5109623049462922,-0.21021144517883777,0.0944409174640249
244680,-0.20752199343848232,-0.03592373010957081,0.11929482490171538
217564,0.19782771465459975,0.2674745938323679,0.3284341377189031
104877,0.18500540842597724,0.31727634554652706,0.37922399963176795
