arm,target,photometry,floor,fit,order,dust_law,free_index,dust_prior,n_pix,lnZ,lnZ_err,calls,wall_s,ess,phot_chi2,n_bands,drop_bands,chi_u,chi_B,chi_V,chi_r,chi_i,chi_z,chi_Y,chi_J,chi_H,chi_Ks,chi_ch1,chi_ch2,logmass_q50,logmass_hw,Z_q50,Z_hw,afe_q50,afe_hw,mass_weighted_age_gyr_q50,mass_weighted_age_gyr_hw,spectrum_scaling_q50,spectrum_scaling_hw,f_calib_percent_q50,f_calib_percent_hw,tau_dust_q50,tau_dust_hw,tau_param,poly_min,poly_max,poly_tilt_pct,diffuse_dust_index_q50,diffuse_dust_index_hw
M5_172669_ap3_floor02_baseline,M5_172669,cosmos_ap3,0.02,both,0,kriek_conroy,False,,3602,232445.13972031913,0.2526970824043733,1293500,170.8787814360112,3567.59353559719,558.9193327660755,12,,-3.99,-9.53,-0.14,-4.35,-5.27,1.65,-1.56,-0.75,0.48,3.99,13.17,14.49,11.146394859486703,0.0035758507363023995,-1.7323221350057734,0.005806228884129072,0.30308533444151053,0.01544986295560602,1.6134109863435269,0.01642617876261232,1.2214661667976698,0.007680772891882293,2.995597994349241,0.04407937127863315,0.06121034594726766,0.00792742295084491,diffuse_tau_kc,,,,,
M5_172669_ap3_floor02_poly3,M5_172669,cosmos_ap3,0.02,both,3,kriek_conroy,False,,3602,232727.7292257868,0.23991004508340052,1371500,295.31416470743716,4033.9294712416363,293.6221478227212,12,,-1.0,-4.02,8.1,4.34,0.13,2.8,-2.92,-4.85,-6.14,-3.63,6.48,7.69,11.270003771630357,0.010337355305882312,-1.6872583516290325,0.02664579274674317,0.060933676131182724,0.01959577155603414,2.24997981319638,0.11437970424122645,1.3557951974896985,0.013394157001645146,2.8361346398176064,0.03938924501271668,0.3396842594989593,0.01590892395980767,diffuse_tau_kc,0.906407892927386,1.1047816802631272,-16.00850874959199,,
M5_172669_ap3_floor05_baseline,M5_172669,cosmos_ap3,0.05,both,0,kriek_conroy,False,,3602,232731.17555447924,0.25737292075744966,1176500,156.04806138388813,3069.8106541592374,169.30128496841147,12,,-3.33,-5.68,-0.47,-1.82,-1.92,1.02,-0.07,0.73,1.65,3.26,6.96,7.44,11.109907620919014,0.0069940714714409324,-1.7227682083632887,0.011247046699352281,0.1343866622158548,0.01421542301287771,1.665683003265142,0.025244608246460132,1.2361131918308117,0.018135003273361594,2.894309984725745,0.04010565299683755,0.011519196761961255,0.004521422449725415,diffuse_tau_kc,,,,,
M5_172669_ap3_floor05_poly3,M5_172669,cosmos_ap3,0.05,both,3,kriek_conroy,False,,3602,232859.22704334068,0.2044705319391582,1170000,262.87778253108263,3243.931836432096,88.1681659806136,12,,-1.91,-2.31,5.24,4.15,2.08,2.4,-0.21,-1.7,-3.12,-2.67,1.24,1.75,11.249001743610076,0.018037233359208038,-1.593207885726405,0.027196248572375903,0.019169444198234083,0.025467567235406982,1.7314142600778069,0.27582611277120395,1.5126376394846694,0.02875706916556897,2.789481070894892,0.03445969407091187,0.5143697599160698,0.02483022330782675,diffuse_tau_kc,0.8720112011962824,1.1474595605315554,-21.66836295124971,,
M5_172669_ap3_floor15_baseline,M5_172669,cosmos_ap3,0.15,both,0,kriek_conroy,False,,3602,232802.33510271294,0.2111708203039057,1261000,173.82799887098372,4353.426713920279,41.01069383968128,12,,-3.28,-2.53,0.31,0.08,0.13,1.01,0.7,0.97,1.25,1.72,2.82,2.97,11.067405592140098,0.02153926399798678,-1.6964663022419701,0.020777290905956036,0.0721305043865909,0.017685193547780583,1.8449364045097574,0.10761791152094335,1.3856864006793512,0.06873350991768024,2.8668364759988663,0.03432040305687711,0.014913286701642414,0.006977983791843703,diffuse_tau_kc,,,,,
M5_172669_ap3_floor15_poly3,M5_172669,cosmos_ap3,0.15,both,3,kriek_conroy,False,,3602,232893.36055736177,0.14879723594038916,1170000,265.1934493808076,3234.5166901276584,13.385104485267373,12,,-0.48,-0.76,2.02,1.76,1.08,1.05,0.13,-0.5,-1.19,-1.18,0.08,0.25,11.259093851102483,0.03101163298895493,-1.5389987996441983,0.023345407373501326,-0.02512973023713945,0.0144740197224105,1.7610824930440556,0.24569896307326355,1.6091880376762098,0.07234054477211038,2.796851145273044,0.03525011979612769,0.6227522033515573,0.03497583628611978,diffuse_tau_kc,0.8529466885340183,1.1677063629835396,-24.46249385425431,,
M5_172669_ap3_freeindex,M5_172669,cosmos_ap3,0.05,both,0,kriek_conroy,True,,3602,232732.37853174083,0.23009164926816952,1202500,241.52962133847177,3433.094227886983,165.82630704396354,12,,-3.56,-5.68,-0.37,-1.7,-1.77,1.13,0.02,0.77,1.65,3.2,6.84,7.29,11.116045605835405,0.00898687674483778,-1.7225841165218683,0.010751716195583572,0.13442416796686785,0.015449710013782258,1.6618227552712668,0.018425679717483212,1.2434466163437357,0.01851701441238718,2.894683099104873,0.041729317885294215,0.03103163696847011,0.018735971403695886,diffuse_tau_kc,,,,0.26124954933918676,0.36547435557993846
M5_172669_cosmos_total_baseline,M5_172669,cosmos_total,0.05,both,0,kriek_conroy,False,,3602,232784.061073982,0.22077888955277433,1170000,157.04093372728676,3078.589232570676,66.73028944198076,12,,-2.47,-2.0,-2.3,-1.79,-1.46,-0.65,-0.28,0.75,2.24,2.91,3.5,4.38,11.205977311588352,0.007378947920566148,-1.722955456084453,0.011656195881046716,0.12244529817172028,0.015118611803077955,1.6797704628605583,0.04536849624736239,0.988305272635101,0.014576157126950706,2.89289125325893,0.039480508485602916,0.009675548116225547,0.004853839507141742,diffuse_tau_kc,,,,,
M5_172669_cosmos_total_poly1_dustprior,M5_172669,cosmos_total,0.05,both,1,kriek_conroy,False,"[0.27366, 0.2583]",3602,232868.667990748,0.3202330239657023,1267500,197.38229399826378,4127.093942486911,57.98221013722064,12,,-3.78,-0.78,3.31,3.99,2.97,1.81,0.84,-0.1,-0.47,-1.0,-1.38,-0.45,11.325355586690693,0.015147898048960329,-1.6501845866687672,0.026302544076163503,0.022457722366381487,0.02454584507186376,2.1764361619016555,0.19008991279567133,1.2373673232887095,0.025986879931578888,2.804981301902683,0.04051969629344865,0.45023308505060367,0.029083603513513023,diffuse_tau_kc,0.8931761713680088,1.1068238286319914,-17.207751275415472,,
M5_172669_cosmos_total_poly3,M5_172669,cosmos_total,0.05,both,3,kriek_conroy,False,,3602,232869.98291447893,0.24653047282682672,1235000,278.6036206651479,3563.4098162103764,60.75922695229125,12,,-3.38,-0.31,3.61,4.23,2.89,1.56,0.54,-0.38,-0.81,-1.43,-1.88,-0.91,11.308990976868813,0.014150723591850323,-1.5998079463794972,0.028494190392728158,-0.011505539229975777,0.028832602664433576,1.7978700496356361,0.1758664727241135,1.232778992954422,0.027808861616055225,2.8014925333843967,0.03507867963562039,0.46425097068663934,0.03138125555890203,diffuse_tau_kc,0.8853039446503309,1.1296287106313891,-19.458538054300245,,
