# One row per matching LEGA-C DR2 spectrum record; repeated objects are retained.
# The paper split is low_sigma for sigma < 215 km/s and high_sigma for sigma > 215 km/s.
# Missing source values are written as NaN.
mms2013_id	dr2_spect_id	dr2_spectrum_filename	dr2_observations_for_object	dr2_ra_j2000_deg	dr2_dec_j2000_deg	match_separation_arcsec	dr2_z_spec	dr2_sigma_stars_prime_km_s	dr2_sigma_stars_prime_err_km_s	sigma_regime_215_km_s	borghi_age_gyr	borghi_age_err_lower_gyr	borghi_age_err_upper_gyr	borghi_z_over_h_dex	borghi_z_over_h_err_lower_dex	borghi_z_over_h_err_upper_dex	borghi_alpha_over_fe_dex	borghi_alpha_over_fe_err_lower_dex	borghi_alpha_over_fe_err_upper_dex	dr2_f_primary	dr2_f_use	dr2_f_spec	dr2_f_z	dr2_f_ppxf	dr2_f_int	dr2_sn_per_pixel	dr2_sn_rf_4000_per_pixel	dr2_sn_obs_8030_per_pixel	dr2_lick_cn1_mag	dr2_lick_cn1_mag_err	dr2_lick_cn2_mag	dr2_lick_cn2_mag_err	dr2_lick_ca4227_angstrom	dr2_lick_ca4227_angstrom_err	dr2_lick_g4300_angstrom	dr2_lick_g4300_angstrom_err	dr2_lick_fe4383_angstrom	dr2_lick_fe4383_angstrom_err	dr2_lick_ca4455_angstrom	dr2_lick_ca4455_angstrom_err	dr2_lick_fe4531_angstrom	dr2_lick_fe4531_angstrom_err	dr2_lick_c4668_angstrom	dr2_lick_c4668_angstrom_err	dr2_lick_hb_angstrom	dr2_lick_hb_angstrom_err	dr2_lick_hd_a_angstrom	dr2_lick_hd_a_angstrom_err	dr2_lick_hg_a_angstrom	dr2_lick_hg_a_angstrom_err	dr2_lick_hd_f_angstrom	dr2_lick_hd_f_angstrom_err	dr2_lick_hg_f_angstrom	dr2_lick_hg_f_angstrom_err	dr2_lick_d4000_n	dr2_lick_d4000_n_err
119700	M3_119700	legac_M3_119700_v2.0.fits	1	150.258377	2.198956	0.017797	0.666900	238.2	12.4	high_sigma	2.116	0.205	0.301	0.225	0.061	0.061	0.057	0.049	0.047	1	1	0	0	0	0	22.2	16.5	30.0	0.033600	0.019100	0.081700	0.018500	1.045100	0.277900	4.470700	0.428000	5.488100	1.304600	0.966500	0.285800	2.276500	0.647400	4.717400	1.565300	1.402000	0.302500	-0.442300	0.527000	-2.946900	0.500800	1.462600	0.371800	0.488400	0.529300	NaN	NaN
119802	M3_119802	legac_M3_119802_v2.0.fits	1	150.103607	2.197922	0.012429	0.682000	202.0	12.2	low_sigma	3.231	0.404	0.496	-0.091	0.045	0.055	0.118	0.058	0.055	1	1	0	0	0	0	25.4	22.4	33.1	0.030800	0.013900	0.061600	0.013700	1.057500	0.197000	3.539200	0.467600	3.152700	0.713500	0.963700	0.274300	2.057300	0.654700	1.932400	1.291700	1.283700	0.254600	0.510800	0.390600	-2.928500	0.536600	1.528900	0.293700	-0.120300	0.488800	NaN	NaN
120308	M3_120308	legac_M3_120308_v2.0.fits	1	150.095627	2.203699	0.011840	0.727900	222.7	9.0	high_sigma	3.272	0.410	0.479	-0.057	0.042	0.055	0.256	0.047	0.047	1	1	0	0	0	0	29.0	25.7	39.6	0.019800	0.010500	0.065100	0.010500	0.734700	0.297200	4.424200	0.314100	4.094600	0.561900	0.794000	0.281800	1.826400	0.516800	4.779700	0.635900	2.578500	0.400700	0.704200	0.270300	-2.908300	0.306300	1.442300	0.197300	0.135500	0.237200	NaN	NaN
80755	M4_80755	legac_M4_80755_v2.0.fits	1	150.370377	2.119776	0.018895	0.732500	215.2	12.2	high_sigma	2.136	0.204	0.267	0.189	0.040	0.053	0.192	0.042	0.040	1	1	0	0	0	0	19.0	19.2	27.1	0.051500	0.014000	0.093100	0.014000	0.826800	0.347500	3.240000	0.438900	4.387000	0.807800	0.236600	0.515400	1.474500	0.770300	3.920300	1.088200	0.000000	NaN	0.391200	0.356800	-2.011300	0.403300	1.668100	0.253500	0.623600	0.370100	1.567200	0.024000
107643	M4_107643	legac_M4_107643_v2.0.fits	1	150.185501	2.044087	0.011727	0.734300	248.2	13.1	high_sigma	3.393	0.774	0.892	0.103	0.073	0.092	0.119	0.078	0.097	1	1	0	0	0	0	21.0	19.0	28.0	0.051800	0.015900	0.091000	0.016000	0.453000	0.434300	4.870100	0.442900	5.762300	0.783900	1.999100	0.447100	2.338100	0.771100	5.022800	0.807200	1.875400	1.454500	-0.603100	0.363700	-3.430800	0.423000	1.155100	0.253900	-0.145500	0.404200	NaN	NaN
108989	M4_108989	legac_M4_108989_v2.0.fits	1	150.218445	2.057750	0.017356	0.827800	310.3	12.1	high_sigma	4.028	0.563	0.642	0.067	0.071	0.066	0.060	0.045	0.047	1	1	0	0	0	0	21.3	27.0	35.9	0.127500	0.016600	0.164600	0.016800	0.988300	0.221700	4.643300	0.435900	4.403900	0.559500	0.798900	0.192800	3.474800	0.603100	7.828900	0.658600	NaN	NaN	-1.566700	0.309000	-3.668100	0.486200	0.858400	0.192400	-0.930200	0.352400	1.781200	0.015500
116829	M4_116829	legac_M4_116829_v2.0.fits	1	150.199844	2.162263	0.018876	0.668300	145.8	7.6	low_sigma	2.334	0.253	0.312	0.255	0.061	0.056	-0.063	0.039	0.042	1	1	0	0	0	0	20.6	17.5	27.5	0.051900	0.018800	0.098400	0.018800	0.744200	0.263600	3.578300	0.421600	5.348700	0.886300	1.010900	0.299000	3.525900	0.663500	5.635200	1.441700	1.140900	0.320500	-0.678200	0.508100	-4.065400	0.528500	0.449900	0.365400	-0.872900	0.497200	NaN	NaN
117400	M4_117400	legac_M4_117400_v2.0.fits	1	150.242172	2.168501	0.008690	0.668700	245.6	7.6	high_sigma	3.690	0.461	0.311	0.204	0.040	0.052	0.245	0.043	0.026	1	1	0	0	0	0	36.1	36.6	48.3	0.070800	0.009100	0.106900	0.009200	0.968800	0.132000	4.992600	0.209800	3.868300	0.490300	1.129100	0.156100	3.293700	0.396800	5.677000	0.746900	1.619700	0.178300	-0.797500	0.238300	-4.035300	0.278600	0.718900	0.168300	-0.705700	0.263700	1.864300	0.013900
118552	M4_118552	legac_M4_118552_v2.0.fits	1	150.368347	2.183035	0.020361	0.622500	231.8	8.8	high_sigma	2.159	0.120	0.112	0.464	0.032	0.035	0.241	0.023	0.023	1	1	0	0	0	0	34.9	25.0	44.9	0.076800	0.010700	0.112100	0.011000	0.804300	0.235600	4.319600	0.318700	3.581300	0.352200	1.374000	0.379400	2.779300	0.431600	8.602300	0.728600	1.782500	0.290900	-0.929900	0.318100	-3.651400	0.258000	0.604900	0.221100	-0.713500	0.233300	NaN	NaN
123161	M4_123161	legac_M4_123161_v2.0.fits	1	150.206177	2.240010	0.011663	0.799500	195.7	9.2	low_sigma	1.580	0.125	0.072	0.235	0.018	0.053	0.028	0.036	0.033	1	1	0	0	0	0	21.0	23.4	31.6	-0.000800	0.012300	0.045800	0.012800	1.566400	0.589900	2.680400	0.575600	2.694000	0.921900	1.038800	0.347200	2.206200	0.370200	5.160800	1.650500	2.400000	0.515000	1.033700	0.399100	-1.313400	0.501200	1.898900	0.261700	0.915300	0.472100	1.715400	0.018400
125149	M4_125149	legac_M4_125149_v2.0.fits	1	150.359360	2.265852	0.007169	0.665100	204.3	8.3	low_sigma	3.917	0.518	0.552	-0.128	0.041	0.043	0.316	0.051	0.052	1	1	0	0	0	0	30.5	26.4	42.2	0.039100	0.012000	0.074100	0.011600	0.763700	0.173600	4.047500	0.271600	3.193900	0.566400	1.002100	0.195300	0.890000	0.394400	3.849300	0.838700	1.863200	0.209100	-0.184000	0.312200	-2.217700	0.308400	0.833100	0.235500	0.040200	0.310500	NaN	NaN
128311	M5_128311	legac_M5_128311_v2.0.fits	1	150.056686	2.301382	0.014927	0.730300	276.2	10.5	high_sigma	3.184	0.279	0.334	0.201	0.038	0.041	0.118	0.026	0.030	1	1	0	0	0	0	26.0	30.2	39.6	0.045500	0.008800	0.084900	0.008800	1.154500	0.196900	4.352600	0.272400	4.195200	0.531700	0.860400	0.248400	2.193800	0.457400	6.826500	0.625600	NaN	NaN	-0.565200	0.229400	-4.303000	0.269100	0.853900	0.163900	-0.723900	0.235400	1.779300	0.013800
135659	M5_135659	legac_M5_135659_v2.0.fits	1	149.997833	2.389796	0.018500	0.842200	252.8	11.2	high_sigma	1.724	0.112	0.073	0.505	0.035	0.081	0.157	0.028	0.029	1	1	0	0	0	0	22.8	24.6	32.9	0.021200	0.011800	0.056700	0.011900	1.369600	0.261000	4.434500	0.434700	4.354800	0.380000	1.114200	0.185700	1.458200	0.741600	8.303900	0.860600	0.000000	NaN	0.197800	0.291600	-3.013100	0.391400	1.341100	0.214400	-0.524000	0.360700	1.679000	0.016800
165871	M5_165871	legac_M5_165871_v2.0.fits	1	149.854034	2.282955	0.023841	0.703100	184.8	7.6	low_sigma	1.729	0.144	0.093	0.237	0.033	0.080	0.111	0.038	0.039	1	1	0	0	0	0	25.0	23.7	33.7	0.006100	0.011400	0.050900	0.011200	0.618500	0.205000	4.519600	0.509300	3.625000	0.497800	1.511000	0.420800	3.282800	0.514800	6.747600	0.871000	3.612300	0.410700	0.591700	0.317900	-1.801500	0.408800	1.878900	0.231800	0.546100	0.358400	NaN	NaN
171079	M5_171079	legac_M5_171079_v2.0.fits	1	149.893417	2.344078	0.011784	0.753600	191.0	10.2	low_sigma	3.570	0.646	0.915	-0.122	0.072	0.067	0.085	0.082	0.081	1	1	0	0	0	0	13.9	15.8	19.5	0.005500	0.022500	0.045400	0.022500	0.470500	0.307000	3.975800	0.540900	4.347600	0.982900	1.022500	0.501400	2.490900	0.895100	4.754200	0.999200	1.442700	0.516500	0.105100	0.452900	-2.655200	0.754200	1.222900	0.330200	-0.684800	0.833700	1.715400	0.026200
174876	M5_174876	legac_M5_174876_v2.0.fits	1	149.894806	2.386428	0.016203	0.722500	274.6	8.8	high_sigma	3.116	0.192	0.211	0.083	0.026	0.032	0.044	0.021	0.023	1	1	0	0	0	0	33.1	35.1	46.0	0.035000	0.007800	0.070800	0.007800	0.683600	0.213600	4.200500	0.260500	4.195500	0.434600	1.516200	0.164900	2.352900	0.483100	5.220900	0.552700	1.809900	0.321100	-0.637700	0.203700	-3.591600	0.226800	0.702200	0.146500	-0.490400	0.211900	1.761300	0.011300
205715	M5_205715	legac_M5_205715_v2.0.fits	1	150.012100	2.459093	0.011166	0.746500	200.6	7.0	low_sigma	3.042	0.133	0.143	0.153	0.023	0.026	0.187	0.031	0.028	1	1	0	0	0	0	33.2	34.1	48.7	0.059800	0.011500	0.106000	0.011400	0.869200	0.155600	4.096600	0.242600	3.625400	0.426400	0.953800	0.245900	2.429500	0.381700	5.537400	0.438700	1.932600	0.247500	-0.567000	0.213600	-2.740100	0.455700	1.213600	0.146400	-0.545600	0.345100	1.688800	0.012800
211347	M5_211347	legac_M5_211347_v2.0.fits	1	150.029999	2.533105	0.018166	0.697200	184.3	7.1	low_sigma	3.102	0.322	0.342	-0.100	0.037	0.044	0.061	0.046	0.049	1	1	0	0	0	0	29.2	29.0	41.1	0.013500	0.009600	0.050900	0.009900	0.791700	0.167000	4.032400	0.412400	3.203000	0.418000	1.111200	0.207900	2.211900	0.475500	4.283500	0.758400	2.577700	0.213400	-0.010000	0.289100	-2.105300	0.333600	1.329100	0.206100	-0.063800	0.289700	1.643200	0.014800
211767	M5_211767	legac_M5_211767_v2.0.fits	1	150.059875	2.536365	0.024148	0.667400	239.4	9.0	high_sigma	2.909	0.290	0.249	0.126	0.040	0.053	0.041	0.024	0.024	1	1	0	0	0	0	28.5	29.5	38.6	0.044500	0.010700	0.082400	0.010500	0.939500	0.162900	3.692600	0.268200	3.686400	0.673400	0.949600	0.186100	2.365500	0.443000	5.072300	0.780900	1.661200	0.222500	-0.692800	0.283700	-3.483400	0.447000	0.906000	0.201900	-0.711600	0.507700	1.749600	0.015700
236682	M5_236682	legac_M5_236682_v2.0.fits	1	149.871796	2.479084	0.021289	0.734200	227.6	7.6	high_sigma	3.256	0.199	0.254	0.097	0.028	0.025	0.179	0.030	0.032	1	1	0	0	0	0	31.6	32.9	46.0	0.046100	0.009300	0.085900	0.009400	0.662500	0.247700	4.266000	0.268200	3.557300	0.530800	1.420900	0.262500	2.695800	0.558300	5.990300	0.553500	1.165300	0.558000	-0.321200	0.210700	-3.354500	0.244100	1.130200	0.147300	-0.738100	0.234300	1.705400	0.012200
238668	M5_238668	legac_M5_238668_v2.0.fits	1	149.889847	2.505617	0.016018	0.732300	163.1	6.6	low_sigma	2.495	0.336	0.383	-0.181	0.062	0.078	0.117	0.048	0.063	1	1	0	0	0	0	22.4	25.9	29.6	-0.017600	0.010000	0.025100	0.010100	0.716400	0.260400	3.931700	0.339200	2.554300	0.700100	0.391000	0.393600	2.512100	0.657300	4.758100	0.751800	2.512000	0.460900	1.262400	0.258800	-1.247200	0.318600	1.920800	0.185800	1.055000	0.286900	1.599100	0.013600
239469	M5_239469	legac_M5_239469_v2.0.fits	1	149.887482	2.513143	0.012589	0.735700	295.0	9.9	high_sigma	2.621	0.264	0.264	0.422	0.032	0.038	0.286	0.022	0.022	1	1	0	0	0	0	26.2	28.6	37.4	0.078500	0.011400	0.118100	0.011400	0.821200	0.251700	5.040300	0.290700	4.191100	0.578700	1.379000	0.280800	2.872600	0.475500	7.634200	0.572900	2.746800	0.497900	-0.375300	0.238200	-4.586700	0.295700	1.145200	0.168700	-0.823300	0.279200	1.838800	0.015400
