# Paper velocity-dispersion regime: sigma > 215 km/s (high_sigma).
# Spectrum-level subset of the Borghi (2022)-LEGA-C DR2 match.
# The 215 km/s split uses the measured SIGMA_STARS_PRIME point estimate, as in the papers.
# Repeat spectra are retained; consult the object audit before treating rows as unique galaxies.
# Missing source values are written as NaN.
mms2013_id	dr2_spect_id	dr2_spectrum_filename	dr2_observations_for_object	dr2_ra_j2000_deg	dr2_dec_j2000_deg	match_separation_arcsec	dr2_z_spec	dr2_sigma_stars_prime_km_s	dr2_sigma_stars_prime_err_km_s	sigma_regime_215_km_s	borghi_age_gyr	borghi_age_err_lower_gyr	borghi_age_err_upper_gyr	borghi_z_over_h_dex	borghi_z_over_h_err_lower_dex	borghi_z_over_h_err_upper_dex	borghi_alpha_over_fe_dex	borghi_alpha_over_fe_err_lower_dex	borghi_alpha_over_fe_err_upper_dex	dr2_f_primary	dr2_f_use	dr2_f_spec	dr2_f_z	dr2_f_ppxf	dr2_f_int	dr2_sn_per_pixel	dr2_sn_rf_4000_per_pixel	dr2_sn_obs_8030_per_pixel	dr2_lick_cn1_mag	dr2_lick_cn1_mag_err	dr2_lick_cn2_mag	dr2_lick_cn2_mag_err	dr2_lick_ca4227_angstrom	dr2_lick_ca4227_angstrom_err	dr2_lick_g4300_angstrom	dr2_lick_g4300_angstrom_err	dr2_lick_fe4383_angstrom	dr2_lick_fe4383_angstrom_err	dr2_lick_ca4455_angstrom	dr2_lick_ca4455_angstrom_err	dr2_lick_fe4531_angstrom	dr2_lick_fe4531_angstrom_err	dr2_lick_c4668_angstrom	dr2_lick_c4668_angstrom_err	dr2_lick_hb_angstrom	dr2_lick_hb_angstrom_err	dr2_lick_hd_a_angstrom	dr2_lick_hd_a_angstrom_err	dr2_lick_hg_a_angstrom	dr2_lick_hg_a_angstrom_err	dr2_lick_hd_f_angstrom	dr2_lick_hd_f_angstrom_err	dr2_lick_hg_f_angstrom	dr2_lick_hg_f_angstrom_err	dr2_lick_d4000_n	dr2_lick_d4000_n_err
169076	M6_169076	legac_M6_169076_v2.0.fits	1	149.780396	2.318275	0.024122	0.677100	270.7	8.3	high_sigma	5.720	0.412	0.261	-0.036	0.016	0.024	0.169	0.025	0.024	1	1	0	0	0	0	49.1	45.1	65.5	0.054100	0.007100	0.080100	0.007300	0.880900	0.101900	4.290500	0.178200	4.452300	0.789000	0.788500	0.133900	2.919900	0.311900	4.271300	0.873100	1.774500	0.127200	-0.426800	0.200700	-4.860900	0.452400	0.794200	0.153900	-1.255000	0.367000	NaN	NaN
207397	M6_207397	legac_M6_207397_v2.0.fits	1	149.951233	2.483064	0.017617	0.738500	248.9	9.7	high_sigma	4.967	0.559	0.623	-0.040	0.039	0.044	0.076	0.038	0.040	1	1	0	0	0	0	27.5	29.1	40.4	0.025500	0.011500	0.061800	0.011500	0.977200	0.220900	4.365400	0.285200	4.146100	0.562500	0.619300	0.314400	1.921000	0.508000	5.683200	0.535600	0.975000	0.462900	-0.717900	0.237000	-4.567200	0.290100	0.622800	0.170200	-1.105100	0.253000	1.711300	0.014400
207735	M6_207735	legac_M6_207735_v2.0.fits	1	149.945236	2.485671	0.014153	0.734500	286.2	9.3	high_sigma	5.222	0.167	0.129	0.111	0.012	0.013	0.199	0.026	0.022	1	1	0	0	0	0	38.6	39.6	56.6	0.072800	0.008000	0.112200	0.008000	0.724100	0.191000	4.079800	0.216500	3.789900	0.415500	0.735000	0.240800	2.674300	0.347300	5.307300	0.398900	1.511100	0.265300	-1.060700	0.176700	-4.538400	0.205200	0.589200	0.124600	-1.263900	0.200000	1.815000	0.011400
209040	M6_209040	legac_M6_209040_v2.0.fits	1	149.909851	2.504587	0.011691	0.730800	239.0	10.0	high_sigma	4.757	0.739	0.487	0.105	0.036	0.062	0.199	0.034	0.039	1	1	0	0	0	0	28.7	25.7	41.0	0.064900	0.010000	0.106700	0.010100	1.009200	0.253900	4.559800	0.302500	3.693100	0.636000	0.976600	0.271900	2.368000	0.656400	5.182800	0.931200	1.136300	0.839800	-1.443700	0.274600	-4.033900	0.304300	0.889500	0.189600	-0.996900	0.272300	1.911700	0.021200
209821	M6_209821	legac_M6_209821_v2.0.fits	1	149.913223	2.512189	0.012385	0.725000	255.1	7.1	high_sigma	3.141	0.079	0.156	0.101	0.026	0.016	0.056	0.016	0.018	1	1	0	0	0	0	47.2	43.7	65.8	0.044000	0.006000	0.087200	0.006100	0.719500	0.205900	4.182200	0.193200	4.293700	0.321300	1.285900	0.155600	2.238100	0.382800	4.277500	0.389500	0.000000	NaN	-0.598300	0.164500	-3.703000	0.179000	0.924300	0.116600	-0.474200	0.156500	1.678900	0.009800
211401	M6_211401	legac_M6_211401_v2.0.fits	1	149.929733	2.532741	0.012397	0.728000	240.1	6.6	high_sigma	3.770	0.249	0.158	-0.095	0.015	0.020	0.174	0.021	0.020	1	1	0	0	0	0	61.2	61.0	84.0	0.017900	0.004400	0.053600	0.004400	0.821600	0.123000	4.136400	0.133800	3.603500	0.254800	1.203400	0.121900	2.170800	0.244600	4.625600	0.310700	1.381800	0.342100	0.253000	0.113700	-2.928900	0.132800	1.329400	0.081500	-0.215300	0.103800	1.638400	0.006400
211736	M6_211736	legac_M6_211736_v2.0.fits	1	149.944824	2.536306	0.021157	0.729300	219.6	9.2	high_sigma	3.902	0.545	0.650	-0.038	0.053	0.049	0.099	0.046	0.050	1	1	0	0	0	0	26.0	26.9	38.2	0.027600	0.009800	0.070300	0.009800	0.758100	0.267200	3.897400	0.304300	2.901200	0.648600	0.545500	0.290100	2.236000	0.589300	3.548200	0.975500	2.008200	0.527300	-0.670700	0.261100	-3.096900	0.304700	0.735900	0.186100	-0.626600	0.262800	1.690400	0.015500
109259	M7_109259	legac_M7_109259_v2.0.fits	1	149.998657	2.063451	0.010672	0.895500	239.4	8.7	high_sigma	3.640	0.426	0.606	-0.158	0.054	0.044	0.338	0.052	0.059	1	1	0	0	0	0	19.8	24.0	27.8	0.028000	0.016400	0.071500	0.017400	0.840300	0.259700	4.461200	0.285500	3.140300	0.621300	0.000000	NaN	2.368200	0.415700	0.000000	NaN	NaN	NaN	0.047800	0.412900	-2.048300	0.262400	1.459200	0.273400	0.645800	0.232300	1.624000	0.018200
124233	M7_124233	legac_M7_124233_v2.0.fits	2	149.993469	2.254358	0.007525	0.659800	215.4	10.7	high_sigma	2.879	0.511	0.447	0.248	0.074	0.083	0.215	0.055	0.067	1	1	0	0	0	0	21.0	13.2	28.4	0.064000	0.023300	0.129300	0.022600	0.790400	0.324700	4.510000	0.478200	3.761800	1.071300	1.026100	0.347000	2.353600	0.583400	7.085700	1.112900	1.040000	0.381500	-1.067300	0.615500	-3.531200	0.483300	0.785800	0.403400	-0.379100	0.422900	NaN	NaN
147270	M7_147270	legac_M7_147270_v2.0.fits	1	149.875015	2.062635	0.024655	0.847300	230.4	9.0	high_sigma	2.390	0.185	0.365	0.038	0.101	0.044	0.146	0.043	0.044	1	1	0	0	0	0	20.8	26.6	32.5	-0.012600	0.012200	0.038100	0.011100	0.654800	0.251500	4.464200	0.487600	3.722300	0.391100	1.891300	0.190600	2.438500	1.427900	7.137800	0.923000	NaN	NaN	1.788800	0.353400	-2.895500	0.393900	1.114500	0.217600	0.086300	0.338500	1.580700	0.013600
