# Paper velocity-dispersion regime: sigma < 215 km/s (low_sigma).
# Spectrum-level subset of the Borghi (2022)-LEGA-C DR2 match.
# The 215 km/s split uses the measured SIGMA_STARS_PRIME point estimate, as in the papers.
# Repeat spectra are retained; consult the object audit before treating rows as unique galaxies.
# Missing source values are written as NaN.
mms2013_id	dr2_spect_id	dr2_spectrum_filename	dr2_observations_for_object	dr2_ra_j2000_deg	dr2_dec_j2000_deg	match_separation_arcsec	dr2_z_spec	dr2_sigma_stars_prime_km_s	dr2_sigma_stars_prime_err_km_s	sigma_regime_215_km_s	borghi_age_gyr	borghi_age_err_lower_gyr	borghi_age_err_upper_gyr	borghi_z_over_h_dex	borghi_z_over_h_err_lower_dex	borghi_z_over_h_err_upper_dex	borghi_alpha_over_fe_dex	borghi_alpha_over_fe_err_lower_dex	borghi_alpha_over_fe_err_upper_dex	dr2_f_primary	dr2_f_use	dr2_f_spec	dr2_f_z	dr2_f_ppxf	dr2_f_int	dr2_sn_per_pixel	dr2_sn_rf_4000_per_pixel	dr2_sn_obs_8030_per_pixel	dr2_lick_cn1_mag	dr2_lick_cn1_mag_err	dr2_lick_cn2_mag	dr2_lick_cn2_mag_err	dr2_lick_ca4227_angstrom	dr2_lick_ca4227_angstrom_err	dr2_lick_g4300_angstrom	dr2_lick_g4300_angstrom_err	dr2_lick_fe4383_angstrom	dr2_lick_fe4383_angstrom_err	dr2_lick_ca4455_angstrom	dr2_lick_ca4455_angstrom_err	dr2_lick_fe4531_angstrom	dr2_lick_fe4531_angstrom_err	dr2_lick_c4668_angstrom	dr2_lick_c4668_angstrom_err	dr2_lick_hb_angstrom	dr2_lick_hb_angstrom_err	dr2_lick_hd_a_angstrom	dr2_lick_hd_a_angstrom_err	dr2_lick_hg_a_angstrom	dr2_lick_hg_a_angstrom_err	dr2_lick_hd_f_angstrom	dr2_lick_hd_f_angstrom_err	dr2_lick_hg_f_angstrom	dr2_lick_hg_f_angstrom_err	dr2_lick_d4000_n	dr2_lick_d4000_n_err
211347	M5_211347	legac_M5_211347_v2.0.fits	1	150.029999	2.533105	0.018166	0.697200	184.3	7.1	low_sigma	3.102	0.322	0.342	-0.100	0.037	0.044	0.061	0.046	0.049	1	1	0	0	0	0	29.2	29.0	41.1	0.013500	0.009600	0.050900	0.009900	0.791700	0.167000	4.032400	0.412400	3.203000	0.418000	1.111200	0.207900	2.211900	0.475500	4.283500	0.758400	2.577700	0.213400	-0.010000	0.289100	-2.105300	0.333600	1.329100	0.206100	-0.063800	0.289700	1.643200	0.014800
238668	M5_238668	legac_M5_238668_v2.0.fits	1	149.889847	2.505617	0.016018	0.732300	163.1	6.6	low_sigma	2.495	0.336	0.383	-0.181	0.062	0.078	0.117	0.048	0.063	1	1	0	0	0	0	22.4	25.9	29.6	-0.017600	0.010000	0.025100	0.010100	0.716400	0.260400	3.931700	0.339200	2.554300	0.700100	0.391000	0.393600	2.512100	0.657300	4.758100	0.751800	2.512000	0.460900	1.262400	0.258800	-1.247200	0.318600	1.920800	0.185800	1.055000	0.286900	1.599100	0.013600
240174	M5_240174	legac_M5_240174_v2.0.fits	1	149.889832	2.521838	0.009234	0.731900	192.6	9.2	low_sigma	3.203	0.430	0.470	0.141	0.053	0.065	0.066	0.038	0.046	1	1	0	0	0	0	17.4	20.1	26.0	0.049600	0.013100	0.090100	0.013300	0.671900	0.347400	4.328200	0.428400	4.329800	0.907400	0.567900	0.528200	3.347600	0.721300	5.457400	0.912700	2.634800	0.639800	-0.906700	0.352200	-3.613200	0.414700	0.819300	0.248200	-0.929400	0.370100	1.711000	0.020000
133205	M6_133205	legac_M6_133205_v2.0.fits	1	149.924728	2.361207	0.012222	0.732100	214.9	10.5	low_sigma	2.922	0.222	0.120	0.421	0.025	0.065	0.135	0.027	0.027	1	1	0	0	0	0	23.9	23.4	33.2	0.070200	0.011400	0.121000	0.011400	1.405800	0.333900	4.781500	0.364100	6.080600	0.695200	1.604300	0.376400	3.176700	0.711100	6.769800	0.962200	0.000000	NaN	-0.528400	0.301600	-4.306900	0.363400	2.380700	0.200400	-0.164800	0.327500	1.889800	0.021700
139384	M6_139384	legac_M6_139384_v2.0.fits	1	149.972427	2.438175	0.020219	0.730000	210.3	7.6	low_sigma	2.428	0.251	0.167	0.155	0.041	0.042	0.120	0.028	0.031	1	1	0	0	0	0	23.4	29.8	36.5	0.008300	0.008900	0.058500	0.008900	0.933200	0.255800	5.123200	0.303300	4.869200	0.663900	1.487700	0.313000	3.856900	0.756500	6.795100	0.982500	NaN	NaN	0.888400	0.226400	-3.771700	0.397500	1.941100	0.160500	-0.120900	0.403100	1.717200	0.013900
168753	M6_168753	legac_M6_168753_v2.0.fits	1	149.768845	2.315666	0.022041	0.676700	189.5	10.5	low_sigma	3.339	0.468	0.587	-0.186	0.056	0.058	0.119	0.074	0.071	1	1	0	0	0	0	22.6	19.9	29.0	0.002800	0.016700	0.048500	0.016400	0.572100	0.243500	2.908800	0.410800	3.305500	0.709200	0.720100	0.311800	2.236300	0.769400	3.777100	1.176100	1.562400	0.295900	1.113600	0.470900	-2.118100	0.504700	1.835100	0.386300	-0.211000	0.470400	NaN	NaN
204775	M6_204775	legac_M6_204775_v2.0.fits	1	149.991165	2.450921	0.017816	0.731400	163.1	10.0	low_sigma	2.104	0.341	0.464	-0.057	0.111	0.162	0.091	0.076	0.076	1	1	0	0	0	0	12.2	16.8	19.2	-0.003200	0.015500	0.033300	0.015600	0.767200	0.418700	3.426800	0.539000	2.587700	1.048000	0.864900	0.535600	1.250600	0.965500	5.586100	1.228900	NaN	NaN	0.673900	0.403700	-0.810800	0.500100	1.300000	0.290500	1.002800	0.454900	1.596000	0.020800
209322	M6_209322	legac_M6_209322_v2.0.fits	1	149.920029	2.509239	0.006031	0.738500	199.3	10.7	low_sigma	3.851	0.600	0.753	0.035	0.067	0.058	0.108	0.062	0.065	1	1	0	0	0	0	20.3	19.5	30.6	0.040800	0.016900	0.083800	0.016800	1.183500	0.318900	3.985200	0.414200	4.158800	0.843300	1.067000	0.554600	3.623300	0.716000	4.924800	0.765100	0.000000	NaN	-0.303000	0.354500	-3.612800	0.419300	0.769200	0.255400	-0.739600	0.361400	1.734800	0.023700
237437	M6_237437	legac_M6_237437_v2.0.fits	1	149.792206	2.489063	0.018590	0.733700	213.9	9.0	low_sigma	5.394	0.693	0.693	-0.064	0.040	0.047	0.207	0.045	0.044	1	1	0	0	0	0	25.0	26.4	36.9	0.044700	0.011200	0.072400	0.011300	0.778000	0.259800	4.805600	0.317600	3.026300	0.621700	1.491300	0.316100	2.743700	0.525800	5.119700	0.613000	1.582200	0.623800	-0.868200	0.267700	-4.044700	0.306900	0.643500	0.188500	-0.790400	0.293200	1.755300	0.016100
122025	M7_122025	legac_M7_122025_v2.0.fits	1	150.060333	2.225976	0.018580	0.747700	155.2	7.8	low_sigma	1.754	0.157	0.173	0.143	0.087	0.088	0.059	0.056	0.054	1	1	0	0	0	0	14.0	19.2	23.8	-0.016200	0.019500	0.025800	0.019400	0.600600	0.312200	4.252000	0.499400	3.594500	0.928100	1.687900	0.437100	2.160200	0.800500	7.081500	0.872900	NaN	NaN	0.940500	0.360600	-0.804000	0.579200	1.849800	0.252100	0.266700	0.595400	1.719300	0.021800
