target,object_id,spect_id,z,sigma_star_kms,catalogue_sn,manifest_index,seed,logmass_q16,logmass_q50,logmass_q84,logZ_abs_q16,logZ_abs_q50,logZ_abs_q84,alpha_fe_q16,alpha_fe_q50,alpha_fe_q84,tau_dust_q16,tau_dust_q50,tau_dust_q84,age_q16,age_q50,age_q84,passed,joint_chi2,joint_ndof,spectrum_chi2,spectrum_ndof,photometry_chi2,photometry_ndof,ess,lnZ,lnZ_err,n_calls,n_samples,wall_time_s,joint_chi2_per_ndof
185653-M12_185653,185653,M12_185653,0.6776310205459595,173.8000030517578,21.5,93,20260923,10.887280129330007,10.89550896493213,10.905673095863873,-1.9006123311795318,-1.8775394296772314,-1.8471146833555454,0.25494558715842774,0.2792836112763371,0.3047850749222255,0.0921663813241995,0.10415334765266239,0.11702130373935042,2.996475238266908,3.0174066511462043,3.1412395059399842,True,4057.656111749792,3589,4021.057174846108,3577,36.59893690368429,12,2964.776842762751,233802.41243025856,0.2633524335353672,1046500,16600,859.6677810642868,1.1305812515324023
189698-M10_189698,189698,M10_189698,0.9257839918136597,166.60000610351562,7.199999809265137,172,20261002,11.15673988308296,11.197623584936073,11.224014665199675,-1.8600916389955675,-1.8201085338260397,-1.7718321442424612,-0.1394173118283294,-0.11828187449593491,-0.0995078161393724,0.10983141992506706,0.12234557064783544,0.13641873173810992,3.1161036570474026,3.5680298033257776,3.8857822859084736,True,3878.688988061286,3687,3821.6435685748197,3675,57.04541948646647,12,3209.90916263536,242896.87389177852,0.17434327559374987,955500,15200,799.4501982042566,1.051990503949359
191718-M10_191718,191718,M10_191718,0.9840289950370789,230.1999969482422,6.800000190734863,175,20261005,11.1456071027018,11.160777936040493,11.175407629579514,-1.6967143775541123,-1.6621778233493243,-1.6315644278312254,-0.1763157685929995,-0.15013005026706777,-0.12474622069688504,0.3857646672332937,0.4140233722402008,0.4428732422589658,2.9974292822447053,3.0282537183018934,3.1517333524848468,True,3595.4971140202865,3801,3520.0102825109843,3789,75.48683150930219,12,3375.8776510092484,251791.16039104297,0.2129174508024436,1066000,16900,870.1682961843908,0.9459345209208857
197591-M10_197591,197591,M10_197591,0.7959700226783752,227.39999389648438,23.899999618530273,83,20260913,11.42342730275691,11.433497647957417,11.44491618330895,-1.7909861805970468,-1.777079004338824,-1.761836924371504,-0.1319382526445588,-0.11995844897475227,-0.10623557187816009,0.5218751305664109,0.5371601218519105,0.5516602825568666,2.9968274061988645,3.0197821278003296,3.162170951776848,True,4107.95716506035,3801,3997.734063309027,3789,110.22310175132333,12,3387.039954641048,248298.26610211688,0.18354361658615198,1306500,20600,1075.8501292970031,1.0807569495028546
201233-M10_201233,201233,M10_201233,0.8177419900894165,148.10000610351562,9.300000190734863,164,20260994,10.799617525072,10.809805198190768,10.821445454483488,-1.9830807891124484,-1.9550434016336515,-1.9272418049452165,0.12518738275991745,0.1470225184542806,0.1681603503403159,0.391098165602653,0.4120490407401297,0.43226960407898735,2.9976586043302134,3.0188188277868844,3.1392203631252626,True,4088.97719193761,3821,4045.4326844471575,3809,43.54450749045231,12,3360.674172698798,253149.4027765191,0.3095878553487461,1105000,17500,900.2260143645108,1.0701327380103665
205715-M5_205715,205715,M5_205715,0.7465000152587891,200.60000610351562,33.20000076293945,40,20260870,11.265481792130625,11.274119965222223,11.285698034199728,-1.8188031704745806,-1.8045083037260818,-1.7875801811465348,-0.199096980950771,-0.19658554330559697,-0.1916074488654208,0.2185077659095795,0.2276766235358426,0.23744832152770146,2.9992830469711347,3.0253945946384078,3.1293998929559446,True,3976.901469620633,3423,3913.4456246320506,3411,63.45584498858247,12,3227.077465334054,223159.90555786682,0.21031418355919757,1137500,18000,933.1609393898398,1.161817548822855
205742-M1_205742,205742,M1_205742,0.7272999882698059,210.5,42.79999923706055,12,20260842,11.253835212172095,11.351762128747925,11.397584128337812,-2.567356983263236,-2.3655548235695187,-2.162249814431075,0.4273293106653694,0.47607985291497656,0.5288045765885769,0.15587763703227348,0.16593977404620608,0.18630388406177198,3.0100808246603354,4.377102848502591,5.026228344657963,True,4257.188815716832,3535,4079.6164661817775,3523,177.57234953505494,12,4329.243932517792,229151.7386514994,0.2805990119473705,1261000,19900,1086.067323056981,1.2042966946865155
205765-M5_205765,205765,M5_205765,0.7286999821662903,212.60000610351562,14.300000190734863,134,20260964,11.314421750183508,11.3406220840579,11.381675507125511,-1.474123340420389,-1.4127113740722645,-1.3608476338848052,0.054704701908616246,0.0706245219859235,0.0893054463532285,0.659481738522739,0.6743015119159383,0.6879108838174477,3.2735573597977514,3.5921786718002675,4.0295380488666535,True,3952.143388869323,3516,3644.7352631364224,3504,307.4081257329009,12,3421.6796975645298,229601.61696266572,0.22926063950675923,1508000,23700,1234.6732104280964,1.1240453324429247
206501-M1_206501,206501,M1_206501,0.9261999726295471,186.39999389648438,30.5,53,20260883,11.613170879394687,11.622011699338003,11.63061341568088,-1.8983855209757658,-1.8750856366765025,-1.851244553468641,0.00704585657477338,0.04322162541829283,0.06878051460486385,0.8261117767675147,0.8404765207494005,0.853648492706852,4.519510396433864,4.558589011177603,4.5950797204547555,True,4662.160330218745,3842,4386.896899233381,3830,275.2634309853637,12,3460.9430493544874,251880.24014635515,0.27079199161942175,1365000,21500,1199.1209637103602,1.213472235871615
206545-M1_206545,206545,M1_206545,0.7282999753952026,210.0,31.399999618530273,47,20260877,11.235538202117777,11.243308247253339,11.250747314718478,-1.681172856445771,-1.6587526221312363,-1.6371331227067016,-0.13550888612684128,-0.12360293482709436,-0.11220447721866579,0.17551334727590534,0.19134268974353308,0.20383105807935337,2.9288352907039736,2.955123625618352,3.0074328645768613,True,4534.128214011584,3434,4401.005871311458,3422,133.12234270012615,12,3992.4870699624876,222102.43228354462,0.24048017961148643,1202500,19000,970.2603704053909,1.3203634868991216
206669-M2_206669,206669,M2_206669,0.6715999841690063,213.8000030517578,35.20000076293945,31,20260861,11.210446843975921,11.232944339139124,11.25643716819518,-1.7730149576912002,-1.7538047506245171,-1.7328690554743187,0.09016720172104209,0.10270090830421999,0.11563657308653905,0.1443313754985599,0.15542778464794843,0.16540085976913943,3.5591666273997133,3.8084848250459014,4.157808154332717,True,3988.598677772473,3606,3896.297791136227,3594,92.30088663624625,12,4103.923360457909,234091.56597818373,0.271483347580342,1170000,18500,1014.0816055191681,1.106100576198689
206771-M5_206771,206771,M5_206771,0.6294999718666077,165.6999969482422,12.300000190734863,148,20260978,10.712340448596356,10.733234683074228,10.747417734739846,-2.3444411492985195,-2.307588074859922,-2.247157572152515,0.5371230647290964,0.570084882889661,0.5905072111317311,0.18718910239716302,0.2064080669484879,0.22679631362745264,5.1229091037411285,5.3509975101510685,5.4441244559053015,True,4141.202511083993,3583,4106.403031762439,3571,34.79947932155421,12,4092.308617528749,235550.98290498066,0.28046431796701,1118000,17700,911.658953349106,1.155791937226903
206858-M1_206858,206858,M1_206858,0.7247999906539917,163.1999969482422,33.400001525878906,39,20260869,10.792733029261633,10.802336600319911,10.809574945989445,-1.7984163110555889,-1.7741258806465423,-1.7520089796412441,0.44778305195821294,0.4662788054239346,0.4894483825966517,0.3556584075698316,0.3656052560777446,0.3754195715768086,1.6458913496006187,1.6530916013386685,1.673677087047271,True,4031.6632503359674,3557,3968.85683907274,3545,62.80641126322715,12,3503.461940318158,233388.49047292923,0.3483532959177568,1235000,19500,1021.7978334724903,1.1334448271959425
208364-M2_208364,208364,M2_208364,0.6678000092506409,161.3000030517578,25.100000381469727,76,20260906,10.760089211452625,10.768532190250522,10.777842349629822,-1.774062815465909,-1.7463228799321278,-1.7224822339891244,0.12750118379486583,0.141070905475598,0.1568076871413248,0.11364823061882029,0.1264093593383642,0.13876253492099128,2.8662535732523042,2.9064284225820094,2.9656666426872866,True,3825.6078158006662,3593,3760.265070217665,3581,65.34274558300093,12,3925.862558817824,237075.77477043957,0.17509923203207137,1183000,18700,1013.6197825614363,1.0647391638743853
208622-M1_208622,208622,M1_208622,0.6478999853134155,196.5,17.899999618530273,116,20260946,10.502873654828942,10.512063532173796,10.522967150594532,-1.8690496068555356,-1.8441566297248624,-1.8206511886762209,0.08713869418674128,0.10468625802400952,0.1236577414540809,0.15828982585602627,0.17036073711328115,0.18361000681769074,2.9993215525969092,3.0192416093493075,3.097524953307657,True,4089.4304107565613,3553,4026.04790530015,3541,63.3825054564115,12,3248.6768389852728,235575.4016606964,0.20406459576471359,1118000,17700,916.1886303778738,1.1509795695909264
210210-M1_210210,210210,M1_210210,0.65420001745224,259.5,62.20000076293945,2,20260832,11.48002749348551,11.487595254895721,11.495676090649532,-1.2714772199648419,-1.2525930366852587,-1.2404465056572411,-0.0013785601866332605,0.005886824277753357,0.014646552966129864,0.2801357735693922,0.2901462643614252,0.3013410567264662,4.445371455835505,4.502715137290301,4.570418186801525,True,4035.359569315846,3535,3919.1991145245743,3523,116.16045479127179,12,3438.9379883838096,229449.03022326116,0.19151264690704736,1384500,21800,1196.4338115956634,1.1415444326211728
210940-M2_210940,210940,M2_210940,0.6948999762535095,158.10000610351562,13.699999809265137,136,20260966,11.077107255283028,11.092011622706849,11.147532147976577,-1.6994436486542044,-1.6508104325653097,-1.6185774088372373,0.23184950504394553,0.2596273708999588,0.2831647948212314,0.5288710617696157,0.5524363820794673,0.5712273867951936,2.888470365688544,3.0611720365132533,3.9624803814960234,True,3468.818829084456,3589,3382.2589976223544,3577,86.55983146210147,12,3510.6125316294206,234545.00851467333,0.19895340327340721,1066000,16900,949.644189809449,0.9665140231497509
211157-M1_211157,211157,M1_211157,0.6069999933242798,239.39999389648438,35.099998474121094,32,20260862,11.065779109884648,11.100928067902863,11.126675820186396,-1.7097331244435203,-1.6775307148888183,-1.6548810125445976,0.13036291314087278,0.14947692409288518,0.1661735753060047,0.2433620429387286,0.250943794998021,0.26084026485563133,3.333125140134994,3.884720877861888,4.219677646404531,True,4418.432975266141,3579,4330.775748643798,3567,87.65722662234313,12,3101.2305023760673,232626.9156153903,0.24697244321408957,1137500,18000,964.5749941924587,1.234543999794954
211347-M5_211347,211347,M5_211347,0.6972000002861023,184.3000030517578,29.200000762939453,58,20260888,11.138368233173631,11.146616225254286,11.156805906396407,-1.8747225826637788,-1.855051767659072,-1.8360275167510842,-0.0711384692578478,-0.058691626271190844,-0.04475357367288359,0.19912256215182517,0.2087259065346929,0.21967181852658907,2.9578190543954412,2.9881017742990483,3.094686507589719,True,4013.6877838663777,3425,3902.177253537585,3413,111.51053032879261,12,3406.52000402501,223247.57411288435,0.2773828504288571,1144000,18100,951.2992439232767,1.17187964492449
211767-M5_211767,211767,M5_211767,0.6674000024795532,239.39999389648438,28.5,65,20260895,11.339769076964235,11.350228759898185,11.360622673035857,-1.6633929592344414,-1.6473214057091174,-1.6290242123423149,0.0422173655620675,0.055112899057354614,0.06709041350685024,0.5043924899372183,0.5198772133385714,0.5347427943172554,3.0001124541600928,3.0230719480782886,3.11117711024648,True,3766.804416413677,3398,3610.709850511792,3386,156.0945659018847,12,3534.610611752211,220618.97378879008,0.2424509882236814,1306500,20600,1072.1535673206672,1.108535731728569
212391-M9_212391,212391,M9_212391,0.7262700200080872,222.3000030517578,19.600000381469727,103,20260933,11.224908057517782,11.233249620804033,11.240492725628554,-1.8226536971835374,-1.789126959500122,-1.7578509872135564,0.35463773682957733,0.37500738817540746,0.3913314168961396,0.11093572163683516,0.12200619993567886,0.13654162662878447,2.9385251994946504,2.9884132167521678,3.02628845158544,True,3974.1709782727053,3569,3944.7968146003195,3557,29.3741636723858,12,3581.035902773391,231354.9846615871,0.26266598792171114,1150500,18200,934.7911101663485,1.1135250709646134
212718-M11_212718,212718,M11_212718,0.8897830247879028,221.10000610351562,11.5,151,20260981,11.533003756444362,11.553249772984852,11.573015610807445,-1.7515733618054896,-1.728304915756145,-1.7029734592666663,-0.11596548513138719,-0.09970702203242299,-0.085622297323842,0.6139289826991259,0.6324501916109074,0.6521734724851797,4.423738290204004,4.581346851432832,4.76854540951176,True,4339.125758217687,3806,4212.186801659878,3794,126.93895655780838,12,3971.4710646305575,249997.8790427271,0.2799060066186854,1332500,21000,1141.708862690255,1.1400750809820512
213004-M11_213004,213004,M11_213004,0.7464920282363892,247.6999969482422,39.400001525878906,19,20260849,11.498180035573828,11.50583459761576,11.514938162797437,-1.6067680752404445,-1.596146082322617,-1.5865348142119742,-0.10371249110426486,-0.09372914333408874,-0.08310251783079627,0.3171052622803841,0.3285975625070162,0.34008657709873225,3.00290079237531,3.0233509705044055,3.1206985729584966,True,4090.0999414747944,3451,3869.607943045005,3439,220.49199842978925,12,3506.5108958392925,223801.49093729514,0.3160605710137908,1300000,20500,1055.5366418967023,1.1851926808098505
213587-M9_213587,213587,M9_213587,0.8900439739227295,265.29998779296875,27.100000381469727,69,20260899,11.457029555022894,11.464858600173816,11.472968913554682,-1.9253009506585568,-1.9138253995023828,-1.9011139068576994,-0.0794369465102411,-0.06730633197000677,-0.05699106635401499,0.38262604147401663,0.39731688958328615,0.4128613960171277,2.9995632804706673,3.00759005657987,3.042968737436056,True,4236.799696224426,3750,4115.536699947424,3738,121.26299627700229,12,3795.1469087889877,245317.56735832387,0.29918744665203306,1261000,19900,1038.4106066329405,1.1298132523265136
213772-M10_213772,213772,M10_213772,0.7003939747810364,270.3999938964844,40.900001525878906,13,20260843,11.595692167402069,11.621932815889746,11.635263207959051,-1.53690077383808,-1.5221749365533848,-1.5026886182506434,0.0005627570590005139,0.017606671482841965,0.03061623692103182,0.1619996301473297,0.17269545422254634,0.18499901871623714,5.37609976063595,5.63281518393585,5.7343697125479185,True,3760.2831596680508,3577,3664.8119777965294,3565,95.47118187152152,12,3795.0152031609064,231049.24572725812,0.20460807492261732,1267500,20000,1077.4845594624057,1.0512393513189966
214296-M11_214296,214296,M11_214296,0.6797130107879639,237.5,19.100000381469727,107,20260937,11.271805876214847,11.281513123809011,11.295217938288491,-1.5060439166760409,-1.4667785140621614,-1.4074651251296983,0.04679307066677889,0.06762122302138832,0.09021710416102223,0.9083876596662441,0.9326863866041608,0.9577584650147355,2.3326307094903433,2.4247918074108457,2.5876481385157515,True,4001.5510310518157,3439,3844.3359542698704,3427,157.21507678194544,12,3605.177332614528,224667.80407425304,0.3244202108060642,1222000,19300,1019.4315115725622,1.1635798287443488
214430-M11_214430,214430,M11_214430,0.8910719752311707,246.10000610351562,15.199999809265137,126,20260956,11.494976619947801,11.513341521533341,11.533021910410765,-1.6962232509994406,-1.668170920614581,-1.6415261484161598,-0.16780556350272083,-0.15126006274571047,-0.1371168262576706,0.5910938380085193,0.6105960616044295,0.6268766843165006,3.8420348084654767,4.008837376833551,4.166440866560755,True,4635.451512099324,3822,4425.768701861249,3810,209.6828102380749,12,3596.1231327595956,251152.74454661654,0.23517189413278294,1326000,20900,1092.2518583536148,1.212833990606835
214899-M9_214899,214899,M9_214899,0.6750689744949341,171.5,18.799999237060547,112,20260942,10.748896884385251,10.757086188226957,10.76826843659733,-1.4751984331841979,-1.4411574667373197,-1.4097480569556624,0.08916570070259151,0.10277556894982087,0.11580522907656646,0.12910437833668334,0.1422715690229841,0.15583792827448395,2.90819215496583,2.9637557868041178,3.0888870833972932,True,3809.2290175991375,3505,3784.8999648124704,3493,24.329052786666946,12,3747.0694586055015,231604.74322437219,0.20074482848277533,1137500,18000,927.7490179426968,1.0867985784876284
215519-M10_215519,215519,M10_215519,0.6146249771118164,186.5,17.700000762939453,118,20260948,10.79642327010826,10.808801855288415,10.820428535577431,-1.9401835725030963,-1.8994987330869488,-1.852783686707228,0.26531903133123164,0.29129596989425355,0.32350207585740726,0.19917733415954533,0.21938955784525596,0.2381584902080078,6.020591530577567,6.209749812158883,6.266990603512994,True,3681.632594511244,3587,3657.983289548685,3575,23.6493049625588,12,3319.5343218939015,236428.0807733125,0.2945097814445538,1105000,17500,932.8837931370363,1.0263821005049467
215585-M11_215585,215585,M11_215585,0.7487310171127319,303.70001220703125,35.599998474121094,29,20260859,11.57683979773732,11.592912119141344,11.608012710561935,-1.9126496018447599,-1.878587932370721,-1.8421870949318084,-0.05663055852941251,-0.041352137625089144,-0.02827921695340159,0.4438882738828571,0.4593149408114371,0.4760485131634674,4.607799047182572,4.71811461518326,4.829346494299237,True,4513.056744466157,3769,4303.033858506717,3757,210.022885959441,12,3899.7461067482177,245159.06856699378,0.31036211235577316,1371500,21600,1095.2180584389716,1.1974148963826365
216730-M10_216730,216730,M10_216730,0.8937180042266846,254.5,36.70000076293945,23,20260853,11.379215222603415,11.387588430880722,11.394905473351884,-1.4964908617767894,-1.4824343136091835,-1.4667130693524386,-0.05414242669989738,-0.03934093553586937,-0.02423606754944812,0.2403201094945732,0.256167493089582,0.27244877871807366,1.6419871276313311,1.6510506482893557,1.6606760667794294,True,3590.6825240369094,3430,3550.58645593106,3418,40.09606810584972,12,3749.940678246312,221153.67814136253,0.17957929128562186,1170000,18500,940.252039664425,1.0468462169203818
