target,object_id,spect_id,z,catalogue_sn,seed,n_free,mask_match,sigma_match,eff_sigma_max_rel_diff,pull_recompute_max_abs_diff,n_phot,n_spec,phot_chi2_stored,spec_chi2_stored,joint_chi2_stored,phot_chi2_h5,spec_chi2_h5,chi2_h5_recompute_max_abs_diff,ndof_h5_match,phot_redchi2_stored,spec_redchi2_stored,joint_redchi2_stored,f_calib_median_pct,f_calib_upper_pct,calib_saturated,n_outlier_pixels,worst_band,worst_band_pull,pull_u*,pull_B,pull_V,pull_r+,pull_i+,pull_z+,pull_Y,pull_J,pull_H,pull_Ks,pull_3.6um,pull_4.5um,n_bad_pixels,n_emission_masked,n_telluric_masked,ess,lnZ,lnZ_err,t10_q16,t10_q50,t10_q84,t20_q16,t20_q50,t20_q84,t50_q16,t50_q50,t50_q84,t80_q16,t80_q50,t80_q84,t90_q16,t90_q50,t90_q84,age_q16,age_q50,age_q84,universe_age_gyr,lnl_ml_stored,lnl_ml_recomputed,lnl_ml_diff,phot_chi2_ml,spec_chi2_ml,f_calib_ml_pct,ml_ndof_match,block_matches_stored,flags
109352-M3_109352,109352,M3_109352,0.724399983882904,23.899999618530273,20260914,13,True,True,0.0004321950045146125,0.0,12,3530,136.67862301630146,4025.022183969782,4161.700806986083,136.67862301630146,4025.022183969783,9.094947017729282e-13,True,11.389885251358455,1.1402329133058873,1.179286145363016,4.1867289387622835,10.000000000000002,False,10,4.5um,6.989956565301958,-2.5795602809932405,-3.6365950700171554,0.6254990565672377,-1.1764806496760245,-2.7382567453472855,0.29037449368412194,-1.9503720697917308,-0.9796403600885881,-0.07285534514547548,2.3952207261842737,6.93371584879958,6.989956565301958,2111,412,113,3868.934933669267,230485.71314906585,0.21265950075873077,4.6090541566450245,4.679846568086381,5.232012421820387,4.204791552414511,4.271158915256321,4.6324889310954545,2.993380933727398,3.0516040336859036,3.3723494164038343,1.7838164235083254,1.8089725927455618,1.953959775426121,1.3800106757630843,1.3946570178374516,1.465508158774451,2.995384992128609,3.059924494309012,3.4112368420919825,7.160174281017717,230522.67282954016,230522.4123160147,-0.2605135254561901,130.19169561593634,4047.730287616329,4.168406632316753,True,,photometry chi2/N 11.4 > 3; 10 pixels with |pull| > 4
109713-M3_109713,109713,M3_109713,0.7275000214576721,24.200000762939453,20260911,13,True,True,4.196269102763962e-06,0.0,12,3434,82.97283236494289,4041.0386852550128,4124.011517619956,82.97283236494289,4041.0386852550123,4.547473508864641e-13,True,6.914402697078574,1.1767730591889962,1.201285032805114,4.3590185722004,10.000000000000002,False,5,4.5um,5.236133879468233,-0.1107786950407023,-1.0600741640183107,1.368217977420815,-0.5164743042667269,-2.9536503697847207,-0.5691922149876542,-3.0443937187860803,-1.7006277052570236,-0.51340768027116,2.172570169438963,5.10771891252124,5.236133879468233,2082,536,114,3609.1290982663772,225603.0700728328,0.3374036083539241,4.597182829369383,4.629603896501335,4.776723847017486,4.18204765406032,4.219586288403688,4.35914108841165,2.9359395186696955,2.9888983909041977,3.0970928124734964,1.7484094127176564,1.7770792811783696,1.8219869451507946,1.3513476932911381,1.3732708237514477,1.396581263553007,2.960081090498282,3.0039389140618544,3.1319557846737505,7.143017744687593,225640.12710355132,225640.057755628,-0.069347923330497,82.89227302456692,4059.1203558418,4.333350658432943,True,,photometry chi2/N 6.9 > 3; 5 pixels with |pull| > 4
109843-M3_109843,109843,M3_109843,0.7243000268936157,12.899999618530273,20260972,13,True,True,0.0004069783110437293,0.0,12,3418,44.68076280208475,4059.33975209199,4104.020514894075,44.68076280208475,4059.33975209199,0.0,True,3.723396900173729,1.187635971940313,1.201059559524166,5.852281305222546,10.000000000000002,False,2,4.5um,3.678321504651705,0.2246431794149426,-2.6406558008898435,2.5020019436495318,1.04140389088332,-1.325093537193381,0.9782809840647103,-2.040934611264779,-1.2977630081567912,-1.5420987838871623,0.1181064851916934,2.414150580161523,3.678321504651705,2104,530,114,3614.5935991222464,225568.83149684925,0.2863515179642807,4.561448575869386,4.595823643758862,4.756364043512137,4.114420463534372,4.164808604342558,4.311016777047048,2.797337260236433,2.8665028915752933,2.982263364330584,1.6459553350438276,1.6882864611851356,1.7418606009896789,1.2605730894006093,1.2944223627650397,1.3322707408772654,2.8608102245746996,2.9190644588021066,3.044308652926791,7.160728524416907,225601.8897517313,225597.97747389507,-3.9122778362361714,45.87752788511514,4079.3285534099505,5.816166872182142,True,,photometry chi2/N 3.7 > 3; 2 pixels with |pull| > 4
111390-M3_111390,111390,M3_111390,0.6672999858856201,32.400001525878906,20260873,13,True,True,0.0002618830823241866,0.0,12,3553,198.29832559938754,4265.2418032773585,4463.540128876746,198.29832559938754,4265.2418032773585,0.0,True,16.52486046661563,1.2004620892984403,1.25662728853512,3.3867973851576223,10.000000000000002,False,16,3.6um,7.36153895668633,-4.304474531711114,-6.22066707317112,-1.5416145350404116,-2.511286994963928,-2.175799899622816,1.1977246970678692,-0.839558465550931,0.42006393310447654,1.8690458885548034,4.0220476607304185,7.36153895668633,7.174787140857925,2107,395,111,3479.9730715388187,232873.1959216892,0.18467184928746405,4.5885675206971035,4.603317679094939,4.624713798612882,4.16663409460746,4.198713986655629,4.217594012781068,2.9038272227308832,2.9809684445619373,3.0050047526142776,1.7288447863076517,1.7804285130730308,1.800472875781588,1.3370629025471286,1.379854392078101,1.3991976585807822,2.938708873575811,2.9911023693206653,3.0117069285006446,7.487812495994804,232907.73721965423,232905.6800394531,-2.0571802011399996,193.20628821728363,4310.495572720869,3.3533450461795593,True,,photometry chi2/N 16.5 > 3; 16 pixels with |pull| > 4
112534-M4_112534,112534,M4_112534,0.9836999773979187,6.400000095367432,20261009,13,True,True,0.0007153149185198473,0.0,12,3828,66.25717574510396,4247.669064972773,4313.926240717878,66.25717574510396,4247.669064972773,0.0,True,5.521431312091997,1.1096314171820203,1.127234450148387,7.355371491221975,10.000000000000002,False,10,3.6um,4.4575332439792605,-2.430068542174836,-0.7625549949145721,1.006119014728825,0.8260415819116449,-1.74215303601135,-0.914417527562081,-2.4676904858898507,-2.2646587717309257,-0.5492439653718568,2.1967837565939696,4.4575332439792605,4.241375909806022,2095,131,112,3349.6352293605546,249714.31090610885,0.18144857693656333,4.601676300038377,4.621736970646129,4.7333038325927745,4.200432448932654,4.221342414503796,4.33375412134267,2.9964171327178457,3.0167740853384526,3.124955181617791,1.7933850976986505,1.8032217126915009,1.848171499723976,1.3923030232948284,1.3991311766519021,1.4183000631257079,2.996861329109986,3.0142939740897576,3.1135939757093043,5.918049073878882,249746.13320898218,249745.93160498107,-0.20160400110762566,69.66860483250969,4275.197732323131,7.208130399457337,True,,photometry chi2/N 5.5 > 3; 10 pixels with |pull| > 4
113852-M7_113852,113852,M7_113852,0.6751999855041504,39.5,20260848,13,True,True,2.6444908346670155e-05,0.0,12,3504,294.36764971481915,4025.0495265455356,4319.417176260355,294.36764971481915,4025.049526545536,4.547473508864641e-13,True,24.53063747623493,1.1487013488999815,1.2330622826892248,4.225585359919317,10.000000000000002,False,7,4.5um,10.150611331079736,-1.6517657253213873,-4.172804167404737,-1.8053644964619822,-3.8988131741202365,-3.569058950328799,0.1224870717293855,-1.5186492893558603,0.9679496852806586,2.970898842184066,5.410129806600859,9.931761071019501,10.150611331079736,2153,392,117,3122.5152434080023,228097.73917506132,0.1957854625082549,4.604033025495308,4.616294406563978,4.665341237921349,4.203020577839049,4.2151264266652655,4.261415445580789,3.000702089198901,3.0099719279044894,3.044929596541672,1.799030027281843,1.8029355662807673,1.8174913857233321,1.3981098729806567,1.4005105868743446,1.407986745312008,3.0022169814266504,3.0143183093003483,3.061133282890567,7.441132563566985,228131.96752950133,228129.5615387861,-2.4059907152259257,293.32671509204636,4057.7750455741366,4.199807115806747,True,,photometry chi2/N 24.5 > 3; 7 pixels with |pull| > 4
117010-M3_117010,117010,M3_117010,0.6765999794006348,18.299999237060547,20260944,13,True,True,0.0006011818590387211,0.0,12,3414,43.88180574353607,3922.6220471784673,3966.5038529220033,43.88180574353607,3922.6220471784677,4.547473508864641e-13,True,3.6568171452946725,1.1489812674805118,1.162175169329623,5.196518065769751,10.000000000000002,False,2,3.6um,3.344074393179703,1.9537967510232799,0.726378053749558,1.3323905557284745,-0.504077746099285,-2.3780127476090316,-0.17618655852805237,-2.3999623846149842,-1.6333722479408437,-0.761938068958707,1.4224311578942344,3.344074393179703,3.099531530577927,2177,462,113,3880.474182111151,225591.09441755665,0.26660650714935236,4.474947553988313,4.5147430976004825,4.756976092008726,3.934752162287891,3.994259274208159,4.213191801441035,2.540825055772248,2.600852455503713,2.7081476698723095,1.4657881766253957,1.5027720550426489,1.540827614206212,1.1058824309280564,1.133862692399389,1.1607564504086512,2.6602778188062755,2.7150754116609948,2.8794729200081517,7.432906519707601,225626.4248616527,225625.74124077693,-0.6836208757595159,37.710977033800205,3909.7726390431208,5.223832528621241,True,,photometry chi2/N 3.7 > 3; 2 pixels with |pull| > 4
117400-M4_117400,117400,M4_117400,0.6686999797821045,36.099998474121094,20260856,13,True,True,0.00030219387701713846,0.0,12,3366,126.76882571199391,3824.3589293266323,3951.127755038626,126.76882571199391,3824.3589293266323,0.0,True,10.564068809332825,1.136173181618132,1.1741835824780464,5.102418049964924,10.000000000000002,False,1,4.5um,6.470294530027903,-4.821313936754536,-2.5724900093635124,2.6881294367587856,0.6629347238704935,-1.9669195827704242,0.33001546771422363,-2.13345491696844,-1.361468242934855,-0.9006787531741599,0.17531932790222207,6.012566138376788,6.470294530027903,2177,506,117,3572.91072855488,219072.45725775376,0.2753341443014,4.5888186767264925,4.627670160832617,4.833663421736793,4.16884116209145,4.2049163080748855,4.384561997768867,2.907623866337476,2.948630965773018,3.04580105032688,1.728904619745296,1.7506668899109208,1.7875584779276863,1.3343536429785305,1.3511582520186387,1.3701791859835588,2.9425585358906527,2.982150061046581,3.1398905162144053,7.479507639552901,219112.73694193823,219106.07385617448,-6.663085763750132,124.96094051701223,3872.4489339417596,5.067767767115593,True,,photometry chi2/N 10.6 > 3; 1 pixels with |pull| > 4
117694-M3_117694,117694,M3_117694,0.6830999851226807,24.200000762939453,20260912,13,True,True,0.0007222090085759627,0.0,12,3508,32.80810146554842,4130.14946762372,4162.957569089268,32.80810146554842,4130.149467623719,9.094947017729282e-13,True,2.734008455462368,1.1773516156281985,1.1870423635840512,4.560173584019099,10.000000000000002,False,18,3.6um,2.9891613201775047,0.2627366009641681,-0.3202690482117406,1.0741356757988323,-1.5269079311563398,-2.2308686991322473,0.4233580303478606,-1.6691721657197574,-0.986724865680108,-0.22014829117138113,1.528398645396186,2.9891613201775047,2.985960726328275,2147,394,117,3682.2386351393866,230608.67553909522,0.21806341150493466,4.611672637660639,4.737812868272746,5.47019108104202,4.209943099818014,4.326775081312087,4.682242422527977,3.0059622201374805,3.1044698024904585,3.4121389067263586,1.7994031712488883,1.8401786728356666,1.9833699142549133,1.3969660180717487,1.417655982619419,1.4846708842677154,3.0076099299376216,3.124761333442491,3.471703969299935,7.3948951816906074,230641.15114180837,230639.00311034234,-2.1480314660293516,33.47360206905708,4118.9819792681365,4.572148628607846,True,,18 pixels with |pull| > 4
119474-M3_119474,119474,M3_119474,0.680899977684021,35.400001525878906,20260860,13,True,True,0.0005728641951399875,0.0,12,3473,122.25646294549318,3829.483944299161,3951.7404072446543,122.25646294549318,3829.483944299161,0.0,True,10.1880385787911,1.1026443836162283,1.1381740804276077,3.824956257262798,10.000000000000002,False,6,4.5um,7.251080976118597,-0.1496242816462321,-0.9962401531775695,1.1012948114410117,-1.1963926572586032,-3.688081922487186,-0.626947184480726,-2.538613103108373,-1.1460926029504725,-0.9953472054753031,0.3931703635470368,6.566643383618296,7.251080976118597,2187,390,116,3710.765957782391,226147.4960843782,0.1902539926470246,7.05288927401948,7.090142734583881,7.105856096987896,6.698051245803272,6.772558166932075,6.803984891740106,5.633537161154648,5.819804463976654,5.89837127599673,3.6117860047942743,4.302323819906295,4.952158509086041,2.3061244377021404,2.6315727652610232,3.0286663091548016,5.16750375693218,5.407360986317357,5.535534820442009,7.407727302235688,226185.9694747945,226188.9692829577,2.99980816320749,124.31583728734824,3867.7512811863157,3.7842614085648383,True,,photometry chi2/N 10.2 > 3; 6 pixels with |pull| > 4
119802-M3_119802,119802,M3_119802,0.6819999814033508,25.399999618530273,20260905,13,True,True,4.8871773147824564e-05,0.0,12,3461,193.80882756531923,4206.610971299562,4400.419798864881,193.80882756531923,4206.610971299562,0.0,True,16.15073563044327,1.2154322367233639,1.2717976297297344,4.38846256230157,10.000000000000002,False,16,4.5um,8.290103664540233,-4.296038348930799,-4.816406076905741,0.3413754829317353,-1.6183086273160205,-2.507646075171089,0.23241023672159744,-1.5976382285299433,-0.5423490162008631,0.9145128956607296,3.5054837594465478,7.640693150794849,8.290103664540233,2204,385,116,3324.408684619819,226042.4096691021,0.2308745595357596,4.604128502770511,4.614802778577975,4.671376205847028,4.201522872124419,4.211101240640028,4.266740672407648,2.9921654384818055,3.0032954325468264,3.053041556657955,1.7856426087979542,1.7945748740756602,1.8139131319225386,1.382806932444758,1.3919199513407963,1.4009450464576996,2.993233795689728,3.0055897329807433,3.061127535646508,7.401306995811068,226077.45151960527,226076.88863517108,-0.5628844341845252,194.87316009660344,4238.976335303812,4.351165882695844,True,,photometry chi2/N 16.2 > 3; 16 pixels with |pull| > 4
119809-M3_119809,119809,M3_119809,0.6801000237464905,5.699999809265137,20261011,13,True,True,0.00028446240630348904,0.0,12,3557,118.37994380454387,4263.969405744068,4382.349349548612,118.37994380454387,4263.969405744069,9.094947017729282e-13,True,9.864995317045322,1.1987544013899545,1.2323817068471912,9.76761474556841,10.000000000000002,False,8,4.5um,8.696756489398053,1.2802988172394352,-0.3643146941495967,2.1179802089769435,2.359707964823039,-0.8121781546611467,1.3572286612852154,-0.8675143237812072,-1.2115081208051663,-2.6355366726237133,-3.8669101654940268,2.073483653801158,8.696756489398053,2093,400,116,3454.3277121083647,232771.25360101098,0.28310590019691373,0.9771050960013069,2.7102218833078284,4.184551200499534,0.8750353098945383,1.93303377590694,3.230455783845253,0.5678490942299792,0.7500298761009028,1.014240917621486,0.26203511173061245,0.3480399905223385,0.447654309211498,0.16089313413650033,0.20015072273602905,0.2567958710744983,0.6981198058653225,1.1757823903842284,1.7692301146076401,7.4124016729757125,232803.6257403461,232803.28491894272,-0.3408214033697732,115.5470560507787,4225.671716831934,9.994811155214558,True,,photometry chi2/N 9.9 > 3; 8 pixels with |pull| > 4
