target,object_id,spect_id,z,sigma_star_kms,catalogue_sn,manifest_index,seed,logmass_q16,logmass_q50,logmass_q84,logZ_abs_q16,logZ_abs_q50,logZ_abs_q84,alpha_fe_q16,alpha_fe_q50,alpha_fe_q84,tau_dust_q16,tau_dust_q50,tau_dust_q84,age_q16,age_q50,age_q84,t20_q16,t20_q50,t20_q84,t50_q16,t50_q50,t50_q84,t80_q16,t80_q50,t80_q84,dt_q16,dt_q50,dt_q84,passed,joint_chi2,joint_ndof,spectrum_chi2,spectrum_ndof,photometry_chi2,photometry_ndof,ess,lnZ,lnZ_err,n_calls,n_samples,wall_time_s,joint_chi2_per_ndof
39865-M14_39865,39865,M14_39865,0.8291419744491577,150.8000030517578,6.800000190734863,176,20261006,10.962026254723991,11.00299453997652,11.043867217882509,-1.8677481383443155,-1.775222632122961,-1.6892939665854942,-0.11501669540588082,-0.07036736118772793,-0.026251870452472507,0.47909992043787214,0.5517732876092023,0.6267445423653933,3.433851605471118,3.8574942692250045,4.273036866176995,1.9303084510211999,2.293261541389709,2.962894157317745,3.4509385747944723,3.9247766826474506,4.442446723386755,4.7712650795224985,5.410836092035778,5.787980967315504,2.6742314545326886,2.920653926941739,3.1744509947282706,True,3745.9268131763706,3450,3740.9463694577134,3438,4.98044371865728,12,3681.9858519995396,225453.60634080076,0.2277371194438388,5036293,15200,289.05602248199284,1.0857758878772088
77632-M15_77632,77632,M15_77632,0.8252720236778259,273.1000061035156,34.5,36,20260866,11.747988198345535,11.764103975255154,11.781836520954718,-1.9154071486563093,-1.8856564295260765,-1.8557224076492416,-0.19902997364402394,-0.19696782117133416,-0.19199399936339312,0.450988356824867,0.46545462057299325,0.4852903476372132,4.7253974158935055,4.858068155331366,5.028291111893005,3.577365570170933,3.7199092812542256,3.9226610806369364,4.878181720086422,5.084179428329838,5.288536622629537,5.940210689096078,6.013334149707433,6.095077027427311,2.161938197890896,2.2784003615980746,2.39764961233893,True,3972.5518232553736,3443,3920.078875962007,3431,52.47294729336702,12,4658.018932916182,223890.59311418404,0.2412833244321011,8434014,23000,452.24935054499656,1.1538053509309827
77745-M15_77745,77745,M15_77745,0.8255519866943359,312.1000061035156,30.700000762939453,49,20260879,11.6938794915402,11.70990932171452,11.725325605573566,-1.6579316839866804,-1.635451358716407,-1.6105917863950376,-0.19933493557752804,-0.19764348330590337,-0.19425655945039474,0.3750690280708034,0.39226772814049393,0.40604155264874353,4.454115500225154,4.6070736312832885,4.764824646713083,3.1793276479390435,3.3502732632892402,3.5117706997166693,4.629245605864778,4.921043931378861,5.153512639233761,5.856555921041332,5.958196730968027,6.040239810269087,2.485553309864804,2.5951859469766823,2.712796158842277,True,3824.8168859349803,3462,3784.669138184162,3450,40.147747750818226,12,4413.896246435116,225309.55065493783,0.28712794260636065,7985083,23300,449.7156866621226,1.1047997937420508
84337-M4_84337,84337,M4_84337,0.8388000130653381,256.20001220703125,14.899999618530273,130,20260960,11.697190630724823,11.723696692428556,11.7465371864264,-1.9708059112508598,-1.9223168976231988,-1.8825890541778048,-0.1771346227357133,-0.16042774341256347,-0.1435040525018694,0.27636258443039646,0.32238581167449376,0.4587473445228866,4.935702666601556,5.1109301290840685,5.595755805269121,3.8349143533240198,4.087616919702299,5.2078364419855125,5.160374967551312,5.3650824787630125,5.71738142037278,6.004123817631461,6.086006822116142,6.226926398760049,1.019089956774536,1.9973863698178485,2.1643036551099213,True,3996.6908826068648,3707,3984.1622790904808,3695,12.528603516383917,12,4427.852378611103,242135.4919179233,0.3623762791764107,6524195,18500,358.70669513905887,1.0781469874849918
87207-M15_87207,87207,M15_87207,0.8325369954109192,133.8000030517578,7.5,169,20260999,11.076022681374457,11.110647509629299,11.13238400167069,-2.295650132667264,-2.2019294425365987,-2.124074845791347,-0.08031600401993798,-0.03746954225859084,0.00554889997032729,0.29323572278883214,0.3354668709752398,0.4488163104871112,4.9787159972406405,5.280086063076065,5.750874681821224,3.8769040218444166,4.454905822692721,5.301014560352338,5.169542774105014,5.5016981984313755,5.787053932058611,6.026088840583447,6.1589510103139915,6.2730933037648855,0.9720787434125477,1.7040451876212694,2.1477330569264095,True,4550.6635782773965,3825,4539.5551726121,3813,11.108405665295795,12,4554.579115469704,251056.83227604834,0.22797592814314646,5949940,17100,335.26396969892085,1.189715968177097
88032-M15_88032,88032,M15_88032,0.8392300009727478,248.89999389648438,22.600000381469727,88,20260918,11.437781552488904,11.464547922698722,11.488723748047777,-1.8548535240384791,-1.8209987932370715,-1.7904165672444923,-0.19757263884306908,-0.1922957106804014,-0.18315216971225207,0.37931934836482484,0.43983210635492165,0.4962467056579604,3.864004267193867,4.052303283111344,4.2283873171673045,2.4409299426535074,2.7020151055231847,3.037005724922286,3.914177671139826,4.129630839504076,4.335875546426539,5.230147106850244,5.502946610364786,5.681328851779101,2.5809731922535843,2.755562075053114,2.9189328179755356,True,3934.7545428931085,3661,3930.168697332796,3649,4.585845560312643,12,3511.5319815084385,239680.22080464792,0.2848788927226483,5984711,18100,341.9302134679165,1.0747758926230835
89072-M15_89072,89072,M15_89072,0.836991012096405,181.1999969482422,7.099999904632568,173,20261003,10.930091763714575,10.964286549367051,10.996496063683017,-1.981858798660571,-1.9185756015062854,-1.86367715262822,-0.14426251862267925,-0.10981962551709412,-0.07227010852752476,0.4485282011299496,0.5144218615200618,0.568133194173544,3.436189054009097,3.820815609523623,4.1259672135573915,2.014044426942571,2.3427198570891212,2.7500062053213106,3.4373778027831556,3.8630981927786467,4.219853811498336,4.693656899184154,5.221918098048507,5.614753835610455,2.59785550949541,2.764469693091196,2.9703517474178707,True,4205.51212124805,3673,4199.668112483332,3661,5.844008764717861,12,3523.4062772402394,241129.99551525217,0.18156192883257594,5702912,16500,335.45597642473876,1.1449801582488566
89153-M15_89153,89153,M15_89153,0.8350780010223389,160.10000610351562,9.800000190734863,158,20260988,10.997311629580118,11.102029930527836,11.199706498751347,-2.552527995842542,-2.150240016918147,-1.9764111860017848,0.1773877390735025,0.2750890977980017,0.3946769800578784,1.0788615148016765,1.1697106299591726,1.2632796422198969,3.8214890855738206,4.671595310610655,5.268388528091573,2.218873608012723,3.489472448390943,5.046085067586338,3.922276760715511,5.0874998043733015,5.623073252488509,5.419776052444344,5.985832058144598,6.200061437390681,1.1539763698043426,2.4823478761086926,3.069303360571947,True,3645.7985057499877,3426,3637.410791172091,3414,8.38771457789645,12,3707.415023256384,224549.83932062986,0.2722101377571948,6415440,16600,335.5719534379896,1.064156014521304
91529-M12_91529,91529,M12_91529,0.840624988079071,300.5,34.79999923706055,34,20260864,11.44965520726111,11.482296625870159,11.51298859452069,-2.2774671123569723,-2.2427999720057263,-2.146923199141824,-0.05306726251271834,-0.04012066275861284,-0.02530740815652482,0.2678110249126611,0.3615633606126563,0.44004465066424686,2.975844440495321,3.027390939475236,3.0864755573918847,1.7297318684275527,1.777863408652627,1.8183732799251207,2.939228497226434,3.0137814862060828,3.075533744068567,4.212115770766284,4.254481484483266,4.316825469242181,2.4433208775579978,2.479785959695283,2.535436352387263,True,4209.25872827688,3833,4192.303171778809,3821,16.955556498071267,12,4137.553459554732,250288.42030344176,0.3066749610092151,7636375,20300,412.83348333498,1.098162986766731
92132-M12_92132,92132,M12_92132,0.7475209832191467,107.0,16.100000381469727,123,20260953,10.991364993337099,11.016963059431838,11.044265695181418,-2.3682308520812647,-2.3352650122796126,-2.303342701544182,-0.03715906986244526,-0.01481136509166842,0.013073873673453662,0.28062057309692867,0.3350578742764292,0.3878760807101634,3.781458893770864,4.012933414451884,4.208848450705953,2.244669330575119,2.4830776195588506,2.7404283963503624,3.7716239972788257,4.009159699601732,4.237636570447106,5.05956761524018,5.545252210739045,5.824058020286391,2.808124522920537,2.9819953236105463,3.1971786553868022,True,4191.530226766098,3829,4172.877171811522,3817,18.65305495457597,12,3464.719135926335,251558.54663785297,0.2667331511755504,5741283,17000,338.7983102798462,1.0946801323494642
