target,arm,n_common,pix_dropped,bands_dropped,dchi2_raw3,dchi2_phot,dlnZ,dlnZ_sig,df_calib,same_data,shift_age,shift_Z,shift_afe,shift_tau_dust,shift_logmass
M1_206545,floor20,3422,0,0,1.5645114062790526,-0.6953553208885879,0.7260734116425738,1.798614842182649,-0.0022856655571787954,True,0.02892447315753123,0.05037827505580917,-0.0978677791540301,0.030706273125448033,-0.13980185733723993
M1_206545,mask_cn,3073,349,0,-3.11598460089499,-28.73857529207713,-22751.49145520071,-58187.113797605365,0.1911978250005939,False,0.35992245226788644,-3.63194129816742,2.241264783351187,-2.295672592681797,-1.533193268303138
M1_206545,new_default,3422,0,0,-27.87531000780473,-15.849169076410945,7.5901104544172995,17.253218282332533,-0.06868032234677601,True,6.759303263123298,1.9563389489931953,0.6822017399544661,-3.174120486301468,-0.8392208707799358
M1_206545,no_irac,3422,0,2,-30.826360807584933,-1.9609443393348869,-27.794762499659555,-83.9503465741759,-0.07254039454404104,False,-0.0027827641822511322,1.983994809527717,0.4864464298398617,3.123013697430812,4.83006588395184
M1_206545,sfh_cont,3422,0,0,2.7356831686238365,-1.6202571836634405,-6.764216234500054,-21.624818808226532,-0.019052023742478497,True,7.00302756596733,-0.25717704585124274,0.027916705032851437,0.09453476746759172,0.595856543230131
M1_206545,tau_cn,3422,0,0,-28.63403879597172,-15.839713591905742,7.495436769298976,24.646953062060238,-0.07288322847863027,True,8.50237301910898,1.8112462963038218,0.9281941977403095,-3.265296672025167,-0.9089417145612986
M4_108989,dust_free,3735,0,0,1.3826005283508493,-0.41985254354623436,0.762651684897719,1.769398061328277,0.058791691730105455,True,-0.13807978223816464,-0.9917097142643928,-0.28315997401742754,3.023989329555212,1.293658110731591
M4_108989,dust_wide,3735,0,0,-116.1485034911484,10.795503258502263,24.88347370995325,51.142328789894435,-0.15359111545204662,True,-5.654701098010148,12.677296105739691,3.2410302760354854,-3.1497759226833884,-4.455180224191284
M4_108989,emis_wide,3247,488,0,-72.64069747271424,0.5539681296910146,-31865.04017781341,-79834.96814725506,-0.01245557288144905,False,-13.657484336358149,7.355849403464945,-0.22589603371989167,-0.17690436837569873,-8.936439097439177
M4_108989,floor20,3735,0,0,1.3373622171220632,-0.582174639025359,-0.7827038390969392,-1.7123019256987115,0.008868423884200283,True,0.2705620359661272,-0.2826341152025903,0.006569934833352986,-0.03396689375689257,0.22974009617359364
