target,arm,quantity,ours,ours hw,Borghi,Borghi err,tension
M4_108989,poly3_total,[a/Fe],-0.18982788658959052,0.010404351293834227,0.06,0.047,-5.189845382386578
M4_108989,seed_rep1,age [Gyr],4.605835396404316,0.1111703440919869,4.028,0.6025,0.9431422468312082
M4_108989,seed_rep1,[Z/H],-0.02843668517980613,0.02727547335568714,0.067,0.066,-1.336387256808081
M4_108989,seed_rep1,[a/Fe],-0.1897943454759236,0.008321190662561054,0.06,0.047,-5.2333846444137295
M4_108989,seed_rep2,age [Gyr],4.617154669099681,0.08824334786894061,4.028,0.6025,0.9675278600180854
M4_108989,seed_rep2,[Z/H],-0.026485123682358447,0.02597601963906293,0.067,0.066,-1.3180320890123287
M4_108989,seed_rep2,[a/Fe],-0.18919618792955778,0.009324080146316832,0.06,0.047,-5.200693646704334
M4_108989,seed_rep3,age [Gyr],4.616277191759192,0.10986139848436993,4.028,0.6025,0.9605555857840259
M4_108989,seed_rep3,[Z/H],-0.02989681273275413,0.02427638381955799,0.067,0.066,-1.3778796647630664
M4_108989,seed_rep3,[a/Fe],-0.1886341529659779,0.008580012039922383,0.06,0.047,-5.2040839983968175
M12_185653,sfh_cont,age [Gyr],4.885546110618387,0.41976998909460495,3.109,0.4085,3.033048514770188
M12_185653,sfh_cont,[Z/H],-0.28432034324348554,0.07430346144659161,-0.014,0.043,-3.148798407824394
M12_185653,sfh_cont,[a/Fe],0.2230480541866438,0.035044110541670837,-0.062,0.064,3.9065681007056825
M4_108989,sfh_cont,age [Gyr],4.751263628200846,0.12546369069908314,4.028,0.6025,1.1752271139559554
M4_108989,sfh_cont,[Z/H],-0.03330465272558425,0.02875759807416922,0.067,0.066,-1.3932546378153015
M4_108989,sfh_cont,[a/Fe],-0.18803114865218634,0.009055218540339013,0.06,0.047,-5.181958921426007
