target,arm,z,sn,seed,n_pix,n_bands,spec_chi2_stored,spec_chi2_raw3,phot_chi2,lnZ,lnZ_err,ess,passed,calls,wall_s,logmass_q50,logmass_hw,Z_q50,Z_hw,afe_q50,afe_hw,tau_dust_q50,tau_dust_hw,age_q50,age_hw,f_calib_q50,f_calib_hw,scaling_q50,scaling_hw,t50_q50,t50_hw,free_dust_index,sfh_prior,dust_index_q50,dust_index_hw,dust_rail_lo,dust_rail_hi,tau_prior,dust_index_bounds
M5_172669,new_default_rep2,0.6036999821662903,105.0,20262830,3602,12,4122.073681241477,3427.9636487749704,60.93237637541534,233019.5851660275,0.16226066884648263,5032.2693022129715,True,9029416,563.1597434030846,11.346734257972702,0.019617813514194005,-1.583329669930052,0.027118490654954863,-0.060901503100454196,0.015985007530984027,0.46967460805232764,0.016117232042778568,2.488803078479896,0.24344481571946153,2.675833574037427,0.03634713509398613,1.228059539050721,0.021613450321743,2.1061323424848006,0.17618881707956047,True,student,-0.9786245990203178,0.023736567719396973,0.9270899470520296,1.5326184669545868e-113,uniform,"-1.0,0.4"
M5_172669,poly3_total,0.6036999821662903,105.0,20260830,3602,12,4155.578523095639,3429.4249803184966,100.10064818802765,233013.76250415418,0.34171838631125634,3455.4495339844248,True,1228500,404.4830888560973,11.329481485809989,0.01087432222300233,-1.5889643781558052,0.02992674033288123,-0.04950871926475742,0.014147024591641355,0.5768895939861884,0.01919923564516507,1.8455087272161208,0.09942950490765345,2.662188154335152,0.035404941673904844,1.3050942642084478,0.025163652527688596,1.768262664092042,0.06754341288135024,,,,,,,,
M5_172669,seed_rep1,0.6036999821662903,105.0,20261830,3602,12,4117.334459802078,3426.919816637119,100.83403996787521,233013.02824792167,0.19220659899025194,3950.518082594826,True,9130161,369.0936553552747,11.330957560032363,0.014371655145876794,-1.5743935349814815,0.024633974102024392,-0.054098431415981724,0.01088816650640562,0.576539702395219,0.01812393054874395,1.8787936949870407,0.17873796993970426,2.6786785882893938,0.02931030375531729,1.3112421234225922,0.018230639142944094,1.8030509086533346,0.10788255531171731,False,uniform,,,,,,
M5_172669,seed_rep2,0.6036999821662903,105.0,20262830,3602,12,4129.556408249995,3430.0291488281246,95.83401667982619,233015.74867027535,0.33037734260857005,3254.4248918878934,True,9163137,351.82788836210966,11.334799229168707,0.010049920485479369,-1.5792539534070056,0.028213241203244976,-0.06303942652384772,0.01273199659730765,0.5708133532848972,0.01805393211359274,1.96452086837498,0.13164847872409757,2.676111125376624,0.02736796277815312,1.2977184871381422,0.025919412684065057,1.8423758337276666,0.09270963020903478,False,uniform,,,,,,
M5_172669,seed_rep3,0.6036999821662903,105.0,20263830,3602,12,4123.863819295747,3429.675414026603,97.68570203274584,233013.60178628392,0.2526463822642963,3371.5233195930223,True,8656873,359.3794704787433,11.330946983811776,0.010977365980155085,-1.5768639933013375,0.025440652740628122,-0.05641109170890787,0.01642169879706046,0.5737376372907739,0.020657320877093266,1.879214755897333,0.14662844324913293,2.674582942567771,0.034721487486073066,1.3066547010074314,0.0196829718535938,1.792998375480106,0.08624710192548146,False,uniform,,,,,,
M5_172669,sfh_cont,0.6036999821662903,105.0,20260830,3602,12,4164.166288262997,3433.2386932145464,98.74634875783481,233008.98701378406,0.2341295795018154,4412.283401022329,True,8214966,359.3961122855544,11.361674803831914,0.017326630805566623,-1.5943057426972789,0.02714093382415872,-0.06357314088993998,0.015479031495317042,0.5711584583566498,0.019648395518089223,2.34806081621581,0.2366152162445947,2.6617498125762524,0.0362380653001082,1.3057638519764325,0.026801870314981158,2.0457340255659653,0.14499458751805794,False,student,,,,,,
M5_172669,tau_cn,0.6036999821662903,105.0,20260830,3602,12,4137.78299607378,3426.175147905247,61.150561247903,233021.17479418233,0.25529751427434805,4844.239260422518,True,8619460,542.2834762819111,11.343702540887952,0.019339471446904177,-1.5743469225819937,0.02654628383824731,-0.06008019391466368,0.015155433654923438,0.47048523721599617,0.01676560800444346,2.486827331131223,0.2758685444688924,2.668635274578206,0.036322080710188054,1.2347746552887644,0.019593615187512792,2.084759456081415,0.17625928805892532,True,student,-0.9737663359662717,0.028094775051250298,0.8694779617652171,8.64624857326971e-134,clipped,"-1.0,0.4"
M5_173928,dust_free,0.9589999914169312,13.300000190734863,20260970,3836,12,3708.2004137020876,9953.323727673645,33.36409506186069,250202.09896713606,0.30330566068555753,4209.290716426621,True,7750628,492.36760684102774,11.706424783467806,0.02189409250027996,-2.2234424811001308,0.01886252831661217,-0.12024434120660105,0.026181568744088335,0.4467776458737023,0.018974732710793335,4.766044093271552,0.33383752788485666,8.975252020205719,0.15218918116354896,1.3110900892268944,0.027329498936681684,5.049738951934724,0.42533604878844544,True,uniform,-0.9710338147695552,0.030249759111112773,0.8448085748126568,5.612523346580544e-49,,
M5_173928,dust_wide,0.9589999914169312,13.300000190734863,20260970,3836,12,3621.05908827542,9962.820279917541,89.13020902856242,250228.32277174818,0.29965441941187176,4689.671709178718,True,8216007,556.3554359795526,11.553899571884942,0.02199822519264938,-1.5135276006720402,0.04482351811829288,-0.16674690489447466,0.02449602196212322,0.29511888950226567,0.02614675761245558,3.2751571817281087,0.2311924494179447,8.994983339569947,0.15691659429504146,1.3134231497626319,0.036457356207177605,3.3293744680045716,0.27037410453255317,True,student,-1.7521108410907984,0.1446732125740786,0.20340999146276767,2.676430413750207e-75,uniform,"-2.0,0.5"
M5_173928,new_default,0.9589999914169312,13.300000190734863,20260970,3836,12,3715.4386824167473,9951.072887845357,35.79305852715654,250197.06027826006,0.2860719094025482,4365.910493792439,True,8520058,534.2907567862421,11.721480420179889,0.025457306110570954,-2.226471727340935,0.029332774284266616,-0.11835207007225704,0.029025862010934177,0.4498857840561493,0.01761343391813855,4.931620794293254,0.37726520974457056,8.97049252706228,0.1440882886765822,1.308788945797275,0.031628134577720624,5.20660048781299,0.2710430609480894,True,student,-0.9788301482491125,0.027314886863406718,0.8842126383757343,7.152513491288726e-52,uniform,"-1.0,0.4"
M5_173928,poly3_total,0.9589999914169312,13.300000190734863,20260970,3836,12,3710.210659205431,9965.84850766132,48.1923182935704,250191.49642664279,0.22200934328263935,3523.555776362627,True,1137500,354.2635971447453,11.716238893947974,0.011697759721585044,-2.233390442680137,0.017680310554176737,-0.14128820916626028,0.024238434194752308,0.5411933394541439,0.019303020848714547,4.4989311255209135,0.10534223381816865,9.011326880011909,0.1490673541882277,1.3602590717429761,0.030928868290515554,4.513090341384006,0.22781259009302124,,,,,,,,
