target,arm,base,same_data,dchi2_raw3,dchi2_phot,dlnZ,dlnZ_sig,df_calib,shift_age,hw_ratio_age,shift_Z,hw_ratio_Z,shift_afe,hw_ratio_afe,shift_tau_dust,hw_ratio_tau_dust,shift_logmass,hw_ratio_logmass
M4_108989,seed_rep2,poly3_total,True,0.7745584174681426,-0.6049366900326287,0.22065960709005594,0.46670815027512924,0.01484914024094941,0.06167226042606357,0.7635695615749742,0.12079646976078197,0.8833436889297909,0.06071485306413008,0.8961712155800065,0.01130531486634235,0.8596362725990426,0.04084686606913786,0.9378163989138141
M4_108989,seed_rep3,poly3_total,True,3.5526625410357155,-0.7847188774884462,-0.0763307579618413,-0.1940984598864045,-0.0013974468054263056,0.054079450266999625,0.9506305223064851,0.004778156211084674,0.8255456661572432,0.11473407518641096,0.8246561268079275,-0.24908767795813835,0.9610251920522712,-0.1123330008212011,0.9931244871562228
M4_108989,sfh_cont,poly3_total,True,9.876525493175905,-0.2971002828137781,-4.145579335425282,-9.44815455485287,0.032346253303821015,1.2221168897055408,1.0856371342909612,-0.11110926581804435,0.977934384119263,0.1726910103918683,0.8703299499032938,-0.3993735098973546,0.9564421714970238,0.3569826261345892,1.0506428186391694
M4_108989,tau_cn,poly3_total,True,7.191819273239162,0.2675180274447424,-2.677711946191266,-6.321421957222307,0.06539840870016,0.7570820985543295,1.04740534011546,-0.9235246736505894,1.0121547856183524,-0.13083595193244588,0.7107572703499977,3.513966230101251,2.0269266560986305,1.752251742571873,1.26974687416363
M5_172669,dust_free,poly3_total,True,-1.4315463334951346,-38.25539298209848,11.338945735740708,30.201945009607773,0.009003604759842965,0.020878910016711407,0.9949922823409799,0.5892176868191564,0.8824042906445979,-0.32545953750577117,0.9632016854760237,-5.174229529628551,0.8710703871337858,-1.9602483856150348,1.0949403495754457
M5_172669,dust_wide,poly3_total,True,-2.851628209124101,-54.8166532343715,8.94443715820671,23.36000824861941,0.024277884462051702,6.763866707331731,2.799742768784413,0.5589448759881497,0.777205665833628,-0.8558773563806926,1.0845825476744921,-8.71188194629131,1.5876764416159272,0.5161706287592993,1.991325741786848
M5_172669,new_default,poly3_total,True,-3.290840533861683,-39.66945014764386,8.955639984167647,20.114342147765285,0.004421855212450865,6.426328400673223,2.774856846056318,0.6125717684090568,0.7852787104815246,-0.6080540593793201,1.0849923465871725,-5.586005957633476,0.8390865163735348,1.2268222736798289,1.9237745497464158
M5_172669,new_default_rep1,poly3_total,True,-2.209567791802783,-41.0357398171872,5.881309881748166,11.978963872505686,0.0132055900857031,6.899331251920135,2.3817496851491287,0.6219634174292747,0.7789308941000336,-0.8602704438046015,1.1137770959840476,-5.528623427360479,0.9543296063078378,1.7767007581562517,1.6818951708346408
M5_172669,new_default_rep2,poly3_total,True,-1.4613315435262848,-39.16827181261231,5.822661873331526,15.392238504150644,0.01364541970227462,6.469853710538372,2.4484162517510706,0.18828339348278708,0.906162527335432,-0.8053130721514477,1.1299201063401436,-5.584336163969146,0.8394725884224125,1.5865606893842796,1.804049311017901
M5_172669,seed_rep1,poly3_total,True,-2.5051636813777804,0.7333917798475653,-0.7342562325065956,-1.872792898471305,0.016490433954241546,0.334759464022614,1.7976351195322722,0.4868837371611211,0.8231425751022556,-0.32442950257795533,0.7696435696336315,-0.01822424587291026,0.9439922965531228,0.13573942284439175,1.3216138763551253
M5_172669,seed_rep2,poly3_total,True,0.6041685096279252,-4.266631508201456,1.9861661211762112,4.1786655333781795,0.013922971041471666,1.196949952324447,1.3240383611119049,0.3244731848770879,0.9427435427120812,-0.956434844050869,0.8999769891423133,-0.31648346911255176,0.9403463995786338,0.4890183727929095,0.9241882187582124
M5_172669,seed_rep3,poly3_total,True,0.2504337081063568,-2.414946155281811,-0.1607178702543024,-0.37818414005754375,0.012394788232618748,0.33899423227056225,1.474697509409467,0.4043335398333591,0.850097687140215,-0.487902767075747,1.1607881707340126,-0.16417094688914483,1.0759449625430992,0.1347668361975717,1.0094758785917515
M5_172669,sfh_cont,poly3_total,True,3.813712896049765,-1.3542994301928388,-4.775490370113403,-11.528541607559246,-0.0004383417588997851,5.054355741451608,2.379728396157201,-0.17848133415335676,0.9069124643133393,-0.9941611067455418,1.09415456197501,-0.29850853104050057,1.0233946747269216,2.960489615971334,1.5933527120353117
M5_172669,tau_cn,poly3_total,True,-3.2498324132498055,-38.95008694012465,7.412290028150892,17.37714524763148,0.006447120243053828,6.449982874909572,2.774513910384138,0.4884412873309458,0.8870422753352882,-0.7472578125122032,1.0712806468066713,-5.542114214166022,0.8732435141846666,1.3077647311094973,1.7784530428936172
M5_173928,dust_free,poly3_total,True,-12.524779987674265,-14.828223231709714,10.602540493273409,28.207577937745317,-0.03607485980618996,2.535668345629567,3.169075837722352,0.5626576269417475,1.0668663459735526,0.8682024503140262,1.0801674948853224,-4.891239268734931,0.982992913881504,-0.8389735055045104,1.871648334499498
M5_173928,dust_wide,poly3_total,True,-3.0282277437781886,40.93789073499202,36.82634510539356,98.74721181965361,-0.01634354044196229,-11.617125434278927,2.1946795794838208,40.715508916105485,2.5352223300005283,-1.0503440743596493,1.0106272445365585,-12.747976178467693,1.3545422665901943,-13.877813010937333,1.880550269130389
M5_173928,new_default,poly3_total,True,-14.775619815962273,-12.399259766413863,5.5638516172766685,15.364991178911692,-0.040834352949628894,4.107466237323262,3.5813291219528196,0.3913231794204768,1.6590644261809724,0.9462714839463098,1.1975139061259312,-4.730221042271479,0.9124703359221356,0.44807949185714135,2.1762548313927494
M5_173928,sfh_cont,poly3_total,True,-4.0437858019922714,0.46051675740314124,-5.228016965003917,-12.077173837504134,-0.06599383626080346,2.9029486579876935,3.6044655325056816,-1.783555865201284,2.6374298057806467,0.3231655705721223,1.1161295903850585,0.11833713605310742,1.047649299645644,2.053006391281693,2.077825781259185
M5_173928,tau_cn,poly3_total,True,-11.665110149684551,-12.897847651598234,4.9722628567542415,12.578740932918137,-0.04319300642886503,2.7173714382732665,1.958151039768936,0.4895442356846552,1.2922973588212472,0.41669621616292213,1.1529484102644014,-5.022752369025938,0.838834588317651,-0.5237269516332468,1.4331831410266418
