target,arm,z,sn,seed,n_pix,n_bands,spec_chi2_stored,spec_chi2_raw3,phot_chi2,lnZ,lnZ_err,ess,passed,calls,wall_s,logmass_q50,logmass_hw,Z_q50,Z_hw,afe_q50,afe_hw,tau_dust_q50,tau_dust_hw,age_q50,age_hw,f_calib_q50,f_calib_hw,scaling_q50,scaling_hw,t50_q50,t50_hw,dust_index_q50,dust_index_hw,fcalib_max,emission_lines,mask_rest_windows,phot_drop,free_dust_index,sfh_prior
M12_98104,dust_free,0.9814170002937317,6.599999904632568,20261007,3804,12,5920.175072006068,8250.23485451665,4.11140970411036,249684.40628806586,0.3191376090023204,3358.8555133329787,True,5354494,369.91593784373254,11.305946421809878,0.030697370158060622,-2.5632344996608105,0.06816199283488622,0.1252461412189472,0.05254362893520044,0.5331196929329045,0.06651431558447762,4.437868128588159,0.11750724045275396,9.985302168313467,0.018837596427256464,0.954847745343878,0.024963699405355644,4.457368420345519,0.11949964161374727,-0.00026862521564128503,0.16192821394803414,0.1,"3726.0,3728.8,4861.3,4958.9,5006.8",,,True,uniform
M12_98104,dust_wide,0.9814170002937317,6.599999904632568,20261007,3804,12,5920.584756598727,8249.535407854291,4.408221661897822,249681.2839291276,0.2020931184920233,3648.342503495129,True,5902464,397.731870255433,11.30290400373529,0.03745899278416065,-2.5603925504043703,0.08411340526160549,0.12714749573079737,0.049293477152364186,0.5153926761662069,0.08218115842029936,4.569429842279455,0.1863677247394726,9.983495900583375,0.018719059076024003,0.9590894607366527,0.027019096515033036,4.719643224245074,0.266496794629417,-0.07359209563852945,0.20354158236049946,0.1,"3726.0,3728.8,4861.3,4958.9,5006.8",,,True,student
M12_98104,emis_wide,0.9814170002937317,6.599999904632568,20261007,3323,12,5376.320707908235,7396.193558385011,8.325581152656323,218119.20614279393,0.2733018909358751,3694.850888520017,True,5834105,263.11403001099825,11.234167860004302,0.07371976592833374,-2.419074214931346,0.10321388988173674,0.2210150494656788,0.07890946051423167,0.33013190596580794,0.0373638357865094,4.349906382334245,0.7701458553078413,9.976815266953647,0.029255111929699318,0.954532205093936,0.03283799999980136,4.420506804938061,0.9853437681734112,,,0.1,"3726.0,3728.8,3869.0,3970.1,4101.7,4340.5,4861.3,4958.9,5006.8",,,False,uniform
M12_98104,floor20,0.9814170002937317,6.599999904632568,20261007,3804,12,4597.192560359082,8242.109360219285,12.144340363412221,249767.84929026142,0.22295624791471855,3671.109003174827,True,5465195,253.4718940462917,11.24766423645131,0.022351123590437005,-2.4830694103911686,0.07102310809422896,0.13859480943319,0.05587470699305032,0.33661920547450186,0.03628877817668444,4.444704928812906,0.21180085384376612,14.591456133354463,0.3779876120039436,0.951147415505519,0.03261134258969789,4.463821067163886,0.3531034640062365,,,0.2,"3726.0,3728.8,4861.3,4958.9,5006.8",,,False,uniform
M12_98104,mask_cn,0.9814170002937317,6.599999904632568,20261007,3688,12,5816.427002975368,8053.587566202663,9.46184866652644,242055.97753684968,0.26597807151796177,3975.7405702772203,True,5984577,273.00567686278373,11.238877652637516,0.03633890569514708,-2.469124936885093,0.09055188611963305,0.1443973986320883,0.04869472689410501,0.35729075932159293,0.031031295537782583,4.353385259386259,0.31097850763624413,9.985497572639279,0.019368301313825498,0.9690820192374059,0.027608015605073533,4.415159571405525,0.34267542889039326,,,0.1,"3726.0,3728.8,4861.3,4958.9,5006.8","4142.0:4177.0,4634.0:4720.0",,False,uniform
M12_98104,new_default,0.9814170002937317,6.599999904632568,20261007,3804,12,5920.671336268662,8247.559598046899,4.3183699800101305,249681.77344623196,0.17479095278399764,3686.1924317516773,True,5885308,391.27494063973427,11.293470430736495,0.03660992240266747,-2.534663252286655,0.08327582817546886,0.1376827284175262,0.04944390300028476,0.49444090427409315,0.07258187711078751,4.511785314982433,0.22087503147804322,9.981915661207491,0.02141060144508966,0.9582037686545769,0.028369640749523584,4.667430540682277,0.31295040160969956,-0.08891306104339958,0.1961683073930364,0.1,"3726.0,3728.8,4861.3,4958.9,5006.8",,,True,student
M12_98104,no_irac,0.9814170002937317,6.599999904632568,20261007,3804,10,5920.199147199875,8247.456282758587,5.246498198044669,249643.7813582728,0.2127833282998139,3593.640821643572,True,5482112,259.2688331818208,11.21027358235529,0.02301742737817758,-2.5357501882756113,0.06856590284440744,0.11848699283980821,0.0456131669320564,0.28406619445436676,0.03416467004291843,4.426732406313826,0.11512515312630534,9.978974972699966,0.025704854004720445,0.9404115891357776,0.027466345741310683,4.4546343909379695,0.13886697849621088,,,0.1,"3726.0,3728.8,4861.3,4958.9,5006.8",,"spitzer_irac_ch1,spitzer_irac_ch2",False,uniform
M12_98104,poly3_total,0.9814170002937317,6.599999904632568,20261007,3804,12,5917.863306540227,8241.728485328083,10.089553467793827,249681.23165207586,0.18853194441269666,4033.206449993014,True,1020500,307.66967546986416,11.24842597909763,0.026383239511360124,-2.4735868262355423,0.07453788481436852,0.1395094770247161,0.054616308606191176,0.36251731516684094,0.03540081111300383,4.403359607650275,0.2666274287466961,9.977882746658953,0.024186968949860166,0.9703163829063787,0.027351947340908234,4.442128506696827,0.4200785914030791,,,,,,,,
M12_98104,sfh_cont,0.9814170002937317,6.599999904632568,20261007,3804,12,5917.792952591963,8244.310531886025,9.544263494386637,249680.48538803204,0.1904014738042666,3546.939738259682,True,5538729,260.9502135012299,11.251813272812381,0.029476146646236323,-2.4559612863663096,0.07668189403000625,0.15007310597287826,0.051186584041646076,0.36764354686763145,0.031080773709743714,4.516054190738646,0.2533015493372863,9.984279102039578,0.018630908071096464,0.9747747669438855,0.030179466960669254,4.682269171701856,0.3751133186251052,,,0.1,"3726.0,3728.8,4861.3,4958.9,5006.8",,,False,student
M12_98104,tau_cn,0.9814170002937317,6.599999904632568,20261007,3804,12,5919.650547756941,8247.085659044122,4.59067218427454,249681.93999459528,0.24890868535921812,3617.770575333743,True,5622332,380.6656122934073,11.290310447792672,0.035066148178735546,-2.52280460111164,0.09019036219219534,0.13357954080092116,0.0484332051939238,0.4920183571490839,0.071568412076705,4.515506275636991,0.2431600885215599,9.981008085933112,0.021622154642717994,0.9594780422267724,0.027160481725325925,4.6884904581675,0.3661578658631237,-0.11046680673568213,0.20494308821809848,0.1,"3726.0,3728.8,4861.3,4958.9,5006.8",,,True,student
