spect_id,catalogue,band,wavelength_angstrom,sedpy_filter,filter_in_sedpy_jax,catalogue_flux_ujy,catalogue_error_ujy,aperture_to_total_mag,ebv,zero_point_mag,total_scale,total_flux_ujy,total_error_ujy
M9_232890,cosmos2015,B,4488,subaru_suprimecam_B,True,0.14000000059604645,0.019999999552965164,-0.050999999046325684,0.01600000075995922,0.146,1.2715483241226866,0.178016766135078,0.025430965914027336
M9_232890,classic,B,4488,subaru_suprimecam_B,True,0.11563251898013213,0.009589393780315623,-0.27950000762939453,0.01600000075995922,-0.069,1.4619511904430051,0.16904909877692756,0.014019225652759175
M9_232890,classic,IB464,4635,subaru_suprimecam_ia464,True,0.1463658497000431,0.07440588858454653,-0.27950000762939453,0.01600000075995922,0.014,1.3514351305537797,0.19780395119799266,0.10055473175322663
M9_232890,farmer,IB464,4635,subaru_suprimecam_ia464,True,0.11938785351350685,0.02264148073705293,0.0,0.01600000075995922,-0.057,1.115308985641384,0.13315434580005148,0.02525224691426144
M9_232890,classic,g,4847,hsc_g,True,0.25503532674443663,0.007739830337610621,-0.27950000762939453,0.01600000075995922,0.133,1.2072226917351367,0.3078844336399689,0.009343698813743567
M9_232890,farmer,g,4847,hsc_g,True,0.31721937906879105,0.003940436270685149,0.0,0.01600000075995922,0.058,0.9999709580800172,0.31721016640896715,0.003940321832850278
M9_232890,classic,IA484,4851,subaru_suprimecam_ia484,True,0.15605589612518117,0.0347876476566347,-0.27950000762939453,0.01600000075995922,0.027,1.3309553871817579,0.2077034356492867,0.04630080705597881
M9_232890,farmer,IA484,4851,subaru_suprimecam_ia484,True,0.1962095692418222,0.015458420267641724,0.0,0.01600000075995922,-0.036,1.0903438928399851,0.21393590553958503,0.016854994131777
M9_232890,cosmos2015,V,5487,subaru_suprimecam_V,True,0.8199999928474426,0.05000000074505806,-0.050999999046325684,0.01600000075995922,-0.117,0.9851764551989162,0.8078446862165801,0.049258823493959464
M9_232890,classic,V,5487,subaru_suprimecam_V,True,0.6458323296036483,0.02288324697193563,-0.27950000762939453,0.01600000075995922,0.128,1.2036882676799838,0.7773807980323438,0.02754429590654243
M9_232890,classic,r,6219,hsc_r,True,1.1851146751426842,0.014419123899550187,-0.27950000762939453,0.01600000075995922,0.133,1.1908611383506598,1.4113070111164892,0.01717117430103754
M9_232890,farmer,r,6219,hsc_r,True,1.4934814374297536,0.00552144637994984,0.0,0.01600000075995922,0.081,0.9657420017276767,1.442317752926538,0.005332292679404793
M9_232890,cosmos2015,r+,6305,subaru_suprimecam_rp,True,1.4800000190734863,0.05000000074505806,-0.050999999046325684,0.01600000075995922,-0.012,1.077878220713708,1.5952597872151835,0.05389391183876726
M9_232890,classic,r+,6305,subaru_suprimecam_rp,True,1.1898166485283734,0.01635025553927989,-0.27950000762939453,0.01600000075995922,0.044,1.2917239150990563,1.5369146194871084,0.02112001609806865
M9_232890,classic,i,7699,hsc_i,True,3.9649713291823305,0.02260509727876868,-0.27950000762939453,0.01600000075995922,0.102,1.2125605761226081,4.80776791922295,0.027410049779651353
M9_232890,farmer,i,7699,hsc_i,True,4.902302265909638,0.005910379906791883,0.0,0.01600000075995922,0.018,1.0127527727822228,4.9648202128165595,0.005985753638799815
M9_232890,cosmos2015,i+,7693,subaru_suprimecam_ip,True,4.630000114440918,0.07000000029802322,-0.050999999046325684,0.01600000075995922,0.02,1.099307055358982,5.089791792117795,0.07695149420274779
M9_232890,classic,i+,7693,subaru_suprimecam_ip,True,3.8293063964542045,0.02521748893944909,-0.27950000762939453,0.01600000075995922,0.058,1.2627547729091977,4.835474929054267,0.031843504519074244
M9_232890,classic,z,8894,hsc_z,True,6.139311358573125,0.03302236600100684,-0.27950000762939453,0.01600000075995922,0.09,1.2179262756453233,7.477228617973997,0.040218807236603
M9_232890,farmer,z,8894,hsc_z,True,7.788963071111523,0.00938575698271641,0.0,0.01600000075995922,0.019,1.0051271336415202,7.828898125705977,0.009433879013093628
M9_232890,cosmos2015,z++,9054,subaru_suprimecam_zp,True,8.510000228881836,0.07999999821186066,-0.050999999046325684,0.01600000075995922,-0.084,0.9914362806296123,8.437122975079756,0.07931490067754277
M9_232890,classic,z++,9054,subaru_suprimecam_zp,True,6.829043730831972,0.0401288073583343,-0.27950000762939453,0.01600000075995922,0.101,1.2046608897678106,8.226681897047333,0.04834160477761207
M9_232890,classic,y,9762,hsc_y,True,8.103639538596608,0.0471707599502402,-0.27950000762939453,0.01600000075995922,0.105,1.1972396504132223,9.70199856826417,0.056474704152551604
M9_232890,farmer,y,9762,hsc_y,True,10.597417461373565,0.020714981184087967,0.0,0.01600000075995922,0.07,0.9558309487828629,10.129339586752772,0.019800020119205956
M9_232890,cosmos2015,Y,10216,vista_vircam_Y,True,10.0,0.20999999344348907,-0.050999999046325684,0.01600000075995922,0.001,1.0679436047371795,10.679436047371794,0.2242681499928238
M9_232890,classic,Y,10216,vista_vircam_Y,True,8.077558664846993,0.11739856806164144,-0.27950000762939453,0.01600000075995922,0.055,1.2518385540358437,10.11179935914176,0.1469640536881638
M9_232890,farmer,Y,10216,vista_vircam_Y,True,10.861246472700568,0.05326835093682952,0.0,0.01600000075995922,0.039,0.9820832856864616,10.666648622560265,0.05231395711114104
M9_232890,cosmos2015,J,12525,vista_vircam_J,True,13.76,0.23999999463558197,-0.050999999046325684,0.01600000075995922,0.017,1.078407453755203,14.838886563671593,0.25881778311622033
M9_232890,classic,J,12525,vista_vircam_J,True,11.001197765023521,0.14063878897042295,-0.27950000762939453,0.01600000075995922,0.028,1.2769764391812723,14.048270348708709,0.1795924199502171
M9_232890,farmer,J,12525,vista_vircam_J,True,14.763872529539913,0.06287905439722348,0.0,0.01600000075995922,0.005,1.0082840132911837,14.886176645803964,0.06339994531958713
M9_232890,cosmos2015,H,16466,vista_vircam_H,True,19.2,0.3499999940395355,-0.050999999046325684,0.01600000075995922,0.055,1.111730360182941,21.345222915512466,0.3891056194376
M9_232890,classic,H,16466,vista_vircam_H,True,15.19426468255012,0.1917237587166111,-0.27950000762939453,0.01600000075995922,-0.043,1.357061311569008,20.619548758428124,0.2601808954629043
M9_232890,farmer,H,16466,vista_vircam_H,True,21.130999704434387,0.08468661044087458,0.0,0.01600000075995922,-0.049,1.0548712750711642,22.290484601745096,0.08933347273722034
M9_232890,cosmos2015,Ks,21557,vista_vircam_Ks,True,26.18,0.5699999928474426,-0.050999999046325684,0.01600000075995922,-0.001,1.0527556323872578,27.56114245589841,0.6000707029308419
M9_232890,classic,Ks,21557,vista_vircam_Ks,True,21.464467722972334,0.14214274356131582,-0.27950000762939453,0.01600000075995922,0.0,1.3005515681195734,27.915647155963637,0.18486396803548769
M9_232890,farmer,Ks,21557,vista_vircam_Ks,True,30.118963824421556,0.06195333894544264,0.0,0.01600000075995922,0.0,1.005373824705226,30.28081785631704,0.062286265328838894
M9_232890,cosmos2015,ch1,35686,spitzer_irac_ch1,True,28.3,0.23999999463558197,0.0,0.01600000075995922,-0.025,0.9795684335063534,27.7217866682298,0.23509641878671025
M9_232890,classic,ch1,35686,spitzer_irac_ch1,True,28.13713911051837,0.04897984674898678,0.0,0.01600000075995922,-0.067,1.0661904338107038,29.999548554435698,0.052221844053284006
M9_232890,farmer,ch1,35686,spitzer_irac_ch1,True,22.002896627838386,0.018590642143334522,0.0,0.01600000075995922,-0.184,1.1875031807989151,26.12850973234781,0.022076446678304107
M9_232890,cosmos2015,ch2,45067,spitzer_irac_ch2,True,17.43,0.11999999731779099,0.0,0.01600000075995922,-0.005,0.99703802129251,17.37837271112845,0.11964455988083683
M9_232890,classic,ch2,45067,spitzer_irac_ch2,True,17.429292351735725,0.0427009041905765,0.0,0.01600000075995922,-0.091,1.089210251278053,18.984163902032716,0.046510262583217894
M9_232890,farmer,ch2,45067,spitzer_irac_ch2,True,16.05609026495564,0.017700446974700055,0.0,0.01600000075995922,-0.186,1.1888080031183528,19.087608605769937,0.02104243302229546
M11_232962,classic,NUV,2314,galex_NUV,True,0.0203385509305613,0.07201577603410238,0.0,0.017999999225139618,0.005,1.1483418628269357,0.02335560946280127,0.08269873040392851
M11_232962,farmer,NUV,2314,galex_NUV,True,0.0203385509305613,0.07201577603410238,0.0,0.017999999225139618,-0.145,1.3184728685212228,0.02681582758698214,0.09495084680646489
M11_232962,classic,u,3709,,False,0.14639285039079322,0.010247292648934741,-0.7911999821662903,0.017999999225139618,0.001,2.2456995203843944,0.3287543539103087,0.023012340186951277
M11_232962,farmer,u,3709,,False,0.2642410428444881,0.00981433984746664,0.0,0.017999999225139618,-0.092,1.180515390446848,0.3119406178656432,0.011585979237010139
M11_232962,cosmos2015,u*,3858,cfht_megacam_us_9301,True,0.25999999046325684,0.03799999877810478,-0.41499999165534973,0.017999999225139618,0.01,1.5970225979897141,0.4152258602469313,0.06068685677221486
M11_232962,classic,u*,3858,cfht_megacam_us_9301,True,0.14030709097021504,0.00912734584312211,-0.7911999821662903,0.017999999225139618,0.058,2.1212461040444666,0.2976258700903812,0.019361346809989233
M11_232962,farmer,u*,3858,cfht_megacam_us_9301,True,0.2644356146485402,0.011171343675493519,0.0,0.017999999225139618,-0.002,1.0817105484708462,0.2860427937566978,0.012084160294374414
M11_232962,classic,IB427,4266,subaru_suprimecam_ia427,True,0.18100055274088325,0.04508442222772618,-0.7911999821662903,0.017999999225139618,-0.007,2.2383335947354768,0.4051396178656095,0.10091397687155837
M11_232962,farmer,IB427,4266,subaru_suprimecam_ia427,True,0.5357470746694112,0.02574687837525219,0.0,0.017999999225139618,-0.111,1.188624889787298,0.6368023075827962,0.0306033804711511
M11_232962,cosmos2015,B,4488,subaru_suprimecam_B,True,0.5199999809265137,0.029999999329447746,-0.41499999165534973,0.017999999225139618,0.146,1.7911191327097715,0.9313819148461949,0.053733572780254174
M11_232962,classic,B,4488,subaru_suprimecam_B,True,0.3204500513102115,0.008730401064471902,-0.7911999821662903,0.017999999225139618,-0.069,2.359415723227192,0.7560748895702735,0.02059864554159442
M11_232962,classic,IB464,4635,subaru_suprimecam_ia464,True,0.3241905292975678,0.06929987193476164,-0.7911999821662903,0.017999999225139618,0.014,2.180467368473622,0.7068868703015383,0.15110610939314872
M11_232962,farmer,IB464,4635,subaru_suprimecam_ia464,True,1.1174807517120413,0.03205530276629141,0.0,0.017999999225139618,-0.057,1.1232323391651893,1.2551905187175902,0.036005552708829866
M11_232962,classic,g,4847,hsc_g,True,0.7480314030347626,0.011574568035873463,-0.7911999821662903,0.017999999225139618,0.133,1.9469993250182414,1.4564166368011309,0.022535676153223345
M11_232962,farmer,g,4847,hsc_g,True,1.48894941637163,0.0063481683259191775,0.0,0.017999999225139618,0.058,1.0066669444845697,1.4988761594709121,0.006390491211726784
M11_232962,classic,IA484,4851,subaru_suprimecam_ia484,True,0.5244690306293955,0.03007010083444067,-0.7911999821662903,0.017999999225139618,0.027,2.146539688597911,1.1257935896864708,0.06454666488126806
M11_232962,farmer,IA484,4851,subaru_suprimecam_ia484,True,1.20160058704535,0.022479374545113232,0.0,0.017999999225139618,-0.036,1.097637484748082,1.318921846036277,0.02467420413440815
M11_232962,cosmos2015,V,5487,subaru_suprimecam_V,True,2.8499999046325684,0.07999999821186066,-0.41499999165534973,0.017999999225139618,-0.117,1.3854896062913948,3.94864524579989,0.1108391660258631
M11_232962,classic,V,5487,subaru_suprimecam_V,True,1.7763161471858908,0.02197211970288945,-0.7911999821662903,0.017999999225139618,0.128,1.9394709024140708,3.445113480955305,0.04261428682811299
M11_232962,classic,r,6219,hsc_r,True,3.51819358725109,0.023233496230522968,-0.7911999821662903,0.017999999225139618,0.133,1.9173383152912307,6.745567365448417,0.04454647252095607
M11_232962,farmer,r,6219,hsc_r,True,7.095123027715003,0.008835117266918689,0.0,0.017999999225139618,0.081,0.9705518868673724,6.88618504210494,0.008574939734102435
M11_232962,cosmos2015,r+,6305,subaru_suprimecam_rp,True,5.510000228881836,0.09000000357627869,-0.41499999165534973,0.017999999225139618,-0.012,1.5145754194971899,8.345310908088319,0.13631179317129088
M11_232962,classic,r+,6305,subaru_suprimecam_rp,True,3.504610356323778,0.016558949631734998,-0.7911999821662903,0.017999999225139618,0.044,2.079557343397214,7.28803820223904,0.03443528530561911
M11_232962,classic,i,7699,hsc_i,True,11.419319606858188,0.037021888779231904,-0.7911999821662903,0.017999999225139618,0.102,1.9497160310670287,22.26443050136945,0.07218217005324899
M11_232962,farmer,i,7699,hsc_i,True,22.62769677742616,0.009772287928875474,0.0,0.017999999225139618,0.018,1.0164625204152933,23.000205697575602,0.00993316441840871
M11_232962,cosmos2015,i+,7693,subaru_suprimecam_ip,True,16.719999313354492,0.11999999731779099,-0.41499999165534973,0.017999999225139618,0.02,1.5427973633720549,25.79557085622588,0.18513567946654158
M11_232962,classic,i+,7693,subaru_suprimecam_ip,True,10.972863502547067,0.02496276050528223,-0.7911999821662903,0.017999999225139618,0.058,2.0304340329084356,22.279675494030425,0.05068523848526762
M11_232962,classic,z,8894,hsc_z,True,17.27110398165015,0.052971224508173397,-0.7911999821662903,0.017999999225139618,0.09,1.9567196822982647,33.794709095914776,0.1036498375905831
M11_232962,farmer,z,8894,hsc_z,True,34.78884192742818,0.016027742732043392,0.0,0.017999999225139618,0.019,1.0079723538247642,35.06619088442743,0.016155521568115536
M11_232962,cosmos2015,z++,9054,subaru_suprimecam_zp,True,29.40999984741211,0.07999999821186066,-0.41499999165534973,0.017999999225139618,-0.084,1.3901059572444219,40.88301599044511,0.1112084740938506
M11_232962,classic,z++,9054,subaru_suprimecam_zp,True,18.586614303927632,0.038517534922908304,-0.7911999821662903,0.017999999225139618,0.101,1.9352091139982208,35.96898539933045,0.07453948463155691
M11_232962,classic,y,9762,hsc_y,True,22.513345327774587,0.07008618380265756,-0.7911999821662903,0.017999999225139618,0.105,1.922687560381715,43.286129004290004,0.13475383375199615
M11_232962,farmer,y,9762,hsc_y,True,46.98077384744721,0.032944682915577,0.0,0.017999999225139618,0.07,0.9581394535763081,45.01413298278518,0.03156560048697568
M11_232962,cosmos2015,Y,10216,vista_vircam_Y,True,31.84,0.11999999731779099,-0.41499999165534973,0.017999999225139618,0.001,1.4966383022758136,47.652963544461905,0.1795965922588009
M11_232962,classic,Y,10216,vista_vircam_Y,True,22.978405293004183,0.04169286998889617,-0.7911999821662903,0.017999999225139618,0.055,2.0100036764895446,46.186679118805216,0.0838028219610819
M11_232962,farmer,Y,10216,vista_vircam_Y,True,49.52220313700368,0.02954853968712306,0.0,0.017999999225139618,0.039,0.9842759167428559,48.74351189180023,0.029083915988955707
M11_232962,cosmos2015,J,12525,vista_vircam_J,True,45.04,0.1599999964237213,-0.41499999165534973,0.017999999225139618,0.017,1.5103609120361632,68.0266554781088,0.24165774052431457
M11_232962,classic,J,12525,vista_vircam_J,True,32.58068455639493,0.051013463033785476,-0.7911999821662903,0.017999999225139618,0.028,2.049088584250496,66.76070879157527,0.10453110474561449
M11_232962,farmer,J,12525,vista_vircam_J,True,69.90050054218267,0.03597924105073169,0.0,0.017999999225139618,0.005,1.009905508252861,70.59290052718237,0.03633563371989139
M11_232962,cosmos2015,H,16466,vista_vircam_H,True,64.38,0.25,-0.41499999165534973,0.017999999225139618,0.055,1.5561426145513988,100.18446152481904,0.3890356536378497
M11_232962,classic,H,16466,vista_vircam_H,True,45.056755799674306,0.06722806522946598,-0.7911999821662903,0.017999999225139618,-0.043,2.176353269124228,98.0594177807532,0.14631201953904513
M11_232962,farmer,H,16466,vista_vircam_H,True,98.34671479304012,0.04753084880173285,0.0,0.017999999225139618,-0.049,1.0559646973417784,103.85065892099081,0.050190898369319656
M11_232962,cosmos2015,Ks,21557,vista_vircam_Ks,True,85.97,0.23000000417232513,-0.41499999165534973,0.017999999225139618,-0.001,1.473053489389008,126.63840848277302,0.3388023087055299
M11_232962,classic,Ks,21557,vista_vircam_Ks,True,60.60656690502283,0.09154596603544202,-0.7911999821662903,0.017999999225139618,0.0,2.084963773215462,126.36249641593174,0.1908700227679097
M11_232962,farmer,Ks,21557,vista_vircam_Ks,True,133.33977464484562,0.06822797119427323,0.0,0.017999999225139618,0.0,1.0060475795534387,134.1461575396479,0.06864058527784032
M11_232962,cosmos2015,ch1,35686,spitzer_irac_ch1,True,116.21,0.5600000023841858,0.0,0.017999999225139618,-0.025,0.979860225583177,113.86955681502099,0.5487217286627479
M11_232962,classic,ch1,35686,spitzer_irac_ch1,True,116.5627415368117,0.32422192232190605,0.0,0.017999999225139618,-0.067,1.0665080286926227,124.31509969543274,0.34578528323446867
M11_232962,farmer,ch1,35686,spitzer_irac_ch1,True,123.95960448743101,0.023385192312343248,0.0,0.017999999225139618,-0.184,1.187856912102934,147.24627301194081,0.027778262329073322
M11_232962,cosmos2015,ch2,45067,spitzer_irac_ch2,True,74.34,0.30000001192092896,0.0,0.017999999225139618,-0.005,0.9972422848043411,74.13499145235473,0.29917269732935675
M11_232962,classic,ch2,45067,spitzer_irac_ch2,True,71.81245908333582,0.14485036485224373,0.0,0.017999999225139618,-0.091,1.0894333981453712,78.23489132833397,0.15780482520357672
M11_232962,farmer,ch2,45067,spitzer_irac_ch2,True,71.8918546354255,0.05086650887786829,0.0,0.017999999225139618,-0.186,1.189051554610296,85.4831215180701,0.06048290145882771
M10_233129,classic,NUV,2314,galex_NUV,True,0.25211578433994564,0.06800885021047318,0.0,0.017000000923871994,0.005,1.1392598789096358,0.2872253979383343,0.07747975445556722
M10_233129,farmer,NUV,2314,galex_NUV,True,0.25211578433994564,0.06800885021047318,0.0,0.017000000923871994,-0.145,1.3080453557961984,0.3297788808287818,0.08895866067084875
M10_233129,classic,u,3709,,False,0.37868667988419574,0.00820687155740572,-0.8795999884605408,0.017000000923871994,0.001,2.425225442668954,0.9184005708549852,0.019903513705736536
