spect_id,sep_cosmos2015_arcsec,sep_classic_arcsec,sep_farmer_arcsec,sep_cosmos2025_arcsec
M3_120308,0.10596613736616095,0.07571364862414733,0.07315389945545712,0.08297749381511972
M7_120372,0.06314034407990785,0.07818418663901934,0.07953196490209453,0.12226543911841968
M7_120488,0.03633610628465615,0.11711035545402004,0.1372985520531766,0.09053050685277494
M3_120540,0.020987394885220036,0.1679431840501148,0.1674847034549897,0.16880628572285378
M7_120758,0.028970544390349823,0.17137736644024243,0.18490523544307802,0.14488095686737767
M7_121482,0.06452660838458345,0.11987976748377129,0.11938476617364294,0.12837516186593018
M7_122025,0.05326521787526342,0.11559644975088351,0.14659098878862223,0.11125260100003521
M7_122242,0.045103327250503256,0.10185672135445199,0.10270114542628225,0.13080945975131938
M4_123161,0.02961600766806902,0.15212738549161114,0.17022548607112634,0.14728816069057846
M4_124231,0.005025229416418244,0.11678206919634332,0.11679558443957082,0.12299265117968512
M7_124875,0.03446813678283607,0.15379081672689218,0.19227762893167388,0.11339608011945491
M4_125213,0.07972028814152769,0.21924611212142892,0.25236284823089666,0.21280240708132497
M1_126153,0.026514364655000976,0.1757573544281936,,0.12036724773114924
M1_126578,0.09819614397442496,0.26379658501868053,0.2623311319929122,0.21857168178706657
M5_127946,0.032917942551711425,0.196868390623745,0.1984414740302961,0.1566255997089736
M5_128311,0.03904408760060813,0.1587112303424403,0.15793811557960696,0.144370433022548
M2_129596,0.004313267407590922,0.15859905612167052,0.1590536362830419,0.12486071075623785
M2_130005,0.07558944678441669,0.07927182647179322,0.0780741528802925,0.09937206906826605
M1_130052,0.22151124892513616,0.26593832933209066,0.2668582474771224,0.2630158251525367
M1_133240,0.02967307881137244,0.11631596446873245,0.11508483316558724,0.0801668237682157
M2_133501,0.01969374077920535,0.11414416143412177,0.11349109660565765,0.11274827397169833
M2_134021,0.037540567715102634,0.09245954199678541,0.09235344860058901,0.11309405259960127
M2_134391,0.011309164876044265,0.1281852139440409,0.12839813819224322,0.11730413394628096
M1_139423,0.04394932310349507,,,0.14225049366474032
M2_139662,0.029924491234375458,0.13279225295389033,0.1347172379075957,0.13375604356260673
M7_143127,0.016150307672034844,0.09548106844774758,0.09537452147777598,0.10621153125581079
M8_145276,0.017991850531165206,0.07739699144990253,0.07657714499182311,0.10365918574880194
M7_146213,0.0434967014242795,0.10949889713461383,0.10903200215929773,0.11779560620134708
M7_147270,0.015829643198673863,0.044707400563015594,0.0444342089798784,0.0459067692409414
M8_147539,0.027528037490765756,0.1084990982370357,0.1083938178192381,0.1147942823020981
M7_147849,0.00557836807710163,0.06767648882716619,0.13969295303045165,0.06646644010310007
M8_148698,0.08036723336965991,0.071852712331602,0.07177482767080343,0.13917650999409129
M8_150848,0.0251600194840389,0.08716179929483123,0.0877012558279063,0.101195643755616
M7_152125,0.075370259698723,0.06676064934051507,0.06732776170451955,0.10190783107363004
M8_156118,0.03554464424771749,0.06884523068286565,0.06840029325506872,0.08853398958947856
M8_160400,0.06087428969557913,0.10170613262740431,0.10173579683557527,0.11466396774187188
M8_161113,0.11795433052675536,0.11442118876835586,0.11468681924477404,0.09454480117504901
M8_161346,0.050849704474468994,0.09715065260413715,0.0964278491519985,0.0951134103223973
M8_162149,0.05460375496991967,0.09524422841056314,0.09738729014038619,0.09113150714316404
M7_162587,0.09757546340985435,0.1538465799130668,0.15320557493921533,0.15050969074068885
M8_163989,0.07217499599909342,0.10882164240895345,0.10824758083394438,0.10649124149764949
M5_165871,0.06569161984759389,0.11075183423824442,0.11253603429407479,0.12486689587296909
M6_166634,0.16565309119072671,0.19880033132636335,0.19879321845219322,
M5_167056,0.08531766834244164,0.13253622834095805,0.1323602454324613,0.15412936223552606
M5_172669,0.010632520530160377,0.0794519158355786,0.06553094666495146,0.15904720085838608
M5_173928,0.013169039979947896,0.04864048953938057,0.055054468500051135,0.07936552233384508
M12_180774,0.06269418382016131,0.1656910779907048,0.1645838626941455,0.18206781508847242
M12_181421,0.004561578133952388,0.16939031139318736,,0.17443371006274125
M12_181945,0.08380753144340718,0.049700713183976515,0.07543408655936384,0.14850909183975353
M12_182890,0.023837244088603434,0.15675671495710358,0.15716741882974944,
M12_184916,0.08622500923310585,0.21773868484781395,0.21999443434214122,
M12_185631,0.06812131426291897,0.20613141840841356,0.2055828416333337,
M12_185653,0.06731016439868685,0.206126214315138,0.2155321119651078,
M10_189698,0.019072619575878115,0.1497497676326962,0.1490466339679195,
M10_191718,0.0442672876094012,0.13224481045397316,0.19512665593313516,
M10_197591,0.12096281446210762,0.03534034713488053,0.0362852726760194,
M10_201233,0.08487260012404897,0.10103771995678594,0.10061576098269538,
M5_205715,0.0763000037649081,0.10803218766458658,0.10849210361831739,0.10398051198841081
M1_205742,0.028226816794128792,0.11873257528546016,,0.12440254563534958
M5_205765,0.2251174431412276,0.3555310284215186,,0.22407987440479
M1_206501,0.03331185028069713,0.09232011636300937,0.09066462584252347,0.11450653017247638
M1_206545,0.00820244600949513,0.10373317774374696,0.13120475778491103,0.11149721101320799
M2_206669,0.0019566459306766945,0.10386414014640667,0.13082782871859802,0.11112791401432895
M5_206771,0.08730368460001091,0.09701404881996628,0.09636166334904772,0.08205160933531622
M1_206858,0.04887697026160317,0.16279665636945329,,0.15041686993033931
M2_208364,0.015724695809884927,0.12060029400945367,,
M1_208622,0.05902950011027814,0.12043676729848364,0.11970264902405912,0.1412678042876862
M1_210210,0.022813424203882236,0.1203366587052472,0.1771127167108892,0.12084110838899569
M2_210940,0.04983087438160265,0.14227152332739015,0.10754674898813131,0.10325362030602335
M1_211157,0.04180443187758822,0.12903585116324148,0.12913506468031288,0.11860289721688827
M5_211347,0.08905115460983151,0.14391732576884395,,0.12617229089750995
M5_211767,0.0813728896614803,0.1775301230018987,,0.1439216392662892
M9_212391,0.051228932787743146,0.10822744415053721,0.10352523500727487,0.08295385486693112
M11_212718,0.049928607515295834,0.12480414672052827,0.12423470379830873,0.10750739164332361
M11_213004,0.16735215591404337,0.12822716995851136,,0.02462116891834885
M9_213587,0.01593421319662752,0.07616436351308009,0.07596989969782479,0.07782744383323613
M10_213772,0.03928729010059419,0.10046801593541708,,0.09531509567730874
M11_214296,0.16002836582070415,0.13389348032296122,0.13546096180755743,0.18020149325817963
M11_214430,0.03615463605513706,0.11455672408707973,0.11440250918325828,0.11031463908594628
M9_214899,0.0630114925293019,0.10946565322038485,0.10892300450367023,0.10569019839556462
M10_215519,0.026509872971155885,0.08845716609233299,0.08580334646526656,0.07105715235297559
M11_215585,0.03932311255688598,0.11532405903069937,0.1884317018690417,0.1442661445937376
M10_216730,0.014063610697648967,0.07985157176198408,0.0803256596191045,0.11501080049075348
M11_216899,0.08813378784931532,0.1149416796026694,0.1499899973514448,0.11680180444842556
M10_217020,0.04738837993433665,0.10531127582043348,0.12545665141467893,0.09940583977848899
M11_217564,0.01756990400643781,0.10443958417546678,0.10627804246810886,0.10723642466303697
M11_218207,0.03233007317366436,0.09649069881624588,0.09537824529431059,0.09014789014979976
M9_218701,0.043175086778941094,0.1371883557590648,0.13812527192846638,0.1345249515855412
M11_221163,0.07324662762208894,0.13785036275894097,0.15578204522493005,
M9_225431,0.011537216267427286,0.0963240548630911,0.09591957898354105,
M10_225441,0.029322074172051352,0.10997601039381688,0.11027304280541883,
M9_225678,0.007974681714028724,0.08849051001787797,0.08313291361834488,
M9_226316,0.04785995181499426,0.05246303912200634,0.04808927845919232,
M11_226721,0.06221902363469997,0.06817698408823,,
M10_227516,0.28997615709901964,0.1969325704966851,0.1901585197660188,
M9_227630,0.027622915757893277,0.0963220801473613,0.13346485273494857,
M10_227672,0.034338082455284,0.06970683952442613,0.07031959384821879,
M10_228215,0.05968405808332521,0.11184886859434956,0.16537851269874776,
M10_228380,0.057626365068735155,0.039676105983402925,0.040779207937898,
M10_228717,0.7107378130616986,0.12186684303398373,,
M11_229551,0.18699790096947783,0.18790430353889462,0.1877774961095324,
M9_229883,0.04079809419372055,0.07906626819981577,0.07954666648298353,
M13_230747,0.15024772192754396,0.03829467149674278,0.03714398421635552,
M10_230983,0.06768827850038385,0.149014636333043,0.1495568663597745,
M9_231276,0.11609453422160519,0.0647582368971475,0.07334406993566972,
M10_231544,0.058787858337300346,0.050132540173886984,0.04889390639476398,
M13_231554,0.1253082549379941,0.04924787818920164,0.04971662465970098,
M9_232005,0.09528903883361453,0.049078322312930335,0.05096177178730804,
M13_232627,0.02537313552749935,0.08001254174362891,0.20203228591271877,
M9_232890,0.12891939838257113,0.033665473864807234,0.034024875338703464,
M11_232962,0.048196564366804306,0.04461414375906434,0.04411147760797805,
M10_233129,0.08505586395320514,0.04711759727821001,0.04607699591370979,
M9_233169,0.061022339871944185,0.08436700103420276,0.08406213606245912,
M6_233902,0.06181014121136935,0.15979174844551144,0.160401260588851,
M5_236682,0.06125575383106793,0.11359590680775351,0.11328627041214014,0.11913285065392307
