spect_id,catalogue,band,wavelength_angstrom,sedpy_filter,filter_in_sedpy_jax,catalogue_flux_ujy,catalogue_error_ujy,aperture_to_total_mag,ebv,zero_point_mag,total_scale,total_flux_ujy,total_error_ujy,total_flux_ujy_2015,total_error_ujy_2015,flux_ratio,error_ratio
M14_38771,classic,z++,9054,subaru_suprimecam_zp,True,7.651740330555621,0.038761323085317156,-0.2718000113964081,0.014999999664723873,0.101,1.1945195480238577,9.140153401251224,0.04630115813267977,9.020655869876334,0.07078990002005242,1.0132471001109733,0.6540644656873961
M14_38771,classic,Y,10216,vista_vircam_Y,True,9.203640696028788,0.025176293051123688,-0.2718000113964081,0.014999999664723873,0.055,1.2416067181103723,11.427302119263366,0.031259054589390656,11.724013800019476,0.08716738689938548,0.9746919710418955,0.35860951786328044
M14_38771,farmer,Y,10216,vista_vircam_Y,True,11.66379162166214,0.009894200821500106,0.0,0.014999999664723873,0.039,0.9809888004642124,11.442048951798874,0.009706100195435415,11.724013800019476,0.08716738689938548,0.9759498024285733,0.11135013381368028
M14_38771,cosmos2025,Y,10216,vista_vircam_Y,True,11.83872611,0.07551228,0.0,0.014999999664723873,0.0,1.0168667557491464,12.038407011678412,0.07678592718282115,11.724013800019476,0.08716738689938548,1.026816175502831,0.8809020198282723
M14_38771,classic,J,12525,vista_vircam_J,True,12.289087976736633,0.030107657711756608,-0.2718000113964081,0.014999999664723873,0.028,1.2669338956701326,15.56946210459993,0.03814441207425871,16.002887707641246,0.13207334814263139,0.9729157880152868,0.28881233504480414
M14_38771,farmer,J,12525,vista_vircam_J,True,15.538185399033797,0.011356779679110664,0.0,0.014999999664723873,0.005,1.00747424086055,15.654321539242055,0.011441662985832537,16.002887707641246,0.13207334814263139,0.9782185456295645,0.08663112692105163
M14_38771,cosmos2025,J,12525,vista_vircam_J,True,15.38103555,0.06060716,0.0,0.014999999664723873,0.0,1.0121245306672477,15.567523387220003,0.06134199337007479,16.002887707641246,0.13207334814263139,0.9727946400440365,0.4644539888837305
M14_38771,classic,H,16466,vista_vircam_H,True,16.52418180516959,0.041092201474387496,-0.2718000113964081,0.014999999664723873,-0.043,1.3467733191122864,22.254327175363102,0.05534188056929164,22.664835154316854,0.20428995943357878,0.9818878903747259,0.27089868108415316
M14_38771,farmer,H,16466,vista_vircam_H,True,21.379605871713256,0.014858458594922467,0.0,0.014999999664723873,-0.049,1.054324987570091,22.541052694947524,0.015665644173402344,22.664835154316854,0.20428995943357878,0.9945385678507459,0.07668337796354474
M14_38771,cosmos2025,H,16466,vista_vircam_H,True,21.18360753,0.07046487,0.0,0.014999999664723873,0.0,1.0078003374709181,21.348846817585482,0.07101451976584437,22.664835154316854,0.20428995943357878,0.941936999419088,0.3476162997082266
